row_label_raw,row_label_full,Dự án Khu đô thị mới Nam Vĩnh Yên (i),Số cuối năm > 1.060.820.486.969,VND Số đầu năm > 537.323.619.060,numeric__Số cuối năm > 1.060.820.486.969,numeric__VND Số đầu năm > 537.323.619.060
Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),Dự án Khu du lịch Đô thị Sinh thái Đại Phước (i),769.371.454.628,758.085.388.285,769371454628.0,758085388285.0
Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,Dự án Chung cư Vũng Tàu Gateway,682.660.723.791,547.205.798.853,682660723791.0,547205798853.0
Dự án Khách sạn DIC Star - Vĩnh Yên (i),Dự án Khách sạn DIC Star - Vĩnh Yên (i),Dự án Khách sạn DIC Star - Vĩnh Yên (i),425.031.607.209,186.097.995.135,425031607209.0,186097995135.0
Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,Dự án Khu dân cư Hiệp Phước. Nhơn Trạch,193.107.610.395,97.979.075.670,193107610395.0,97979075670.0
"Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)","Dự án Khu dân cư Phường 4, Hậu Giang (i)",187.207.863.452,107.096.935.492,187207863452.0,107096935492.0
Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,Dự án Khu phức hợp Cap Saint Jacques,143.637.197.732,40.637.097.533,143637197732.0,40637097533.0
Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),Dự án Cơ sở Hạ tầng Khu trung tâm Chí Linh (i),105.643.513.122,161.160.752.643,105643513122.0,161160752643.0
Dự án Khu du lịch Long Tân. Nhơn Trạch,Dự án Khu du lịch Long Tân. Nhơn Trạch,Dự án Khu du lịch Long Tân. Nhơn Trạch,40.804.763.274,15.357.058.742,40804763274.0,15357058742.0
Dự án Khu đô thị Đường 51B. Vũng Tàu,Dự án Khu đô thị Đường 51B. Vũng Tàu,Dự án Khu đô thị Đường 51B. Vũng Tàu,6.620.745.383,4.702.913.234,6620745383.0,4702913234.0
Dự án Khu cần hộ Cao cấp DIC Phoenix,Dự án Khu cần hộ Cao cấp DIC Phoenix,Dự án Khu cần hộ Cao cấp DIC Phoenix,,229.227.498.155,,229227498155.0
Các dự án khác,Các dự án khác,Các dự án khác,34.736.007.095,16.928.158.842,34736007095.0,16928158842.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.649.641.973.050,2.701.802.291.644,3649641973050.0,2701802291644.0
