row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,245.857.559.293,348.518.281.049,68.919.076.130,10.267.632.533,12.590.655.374,686.153.204.379,245857559293.0,348518281049.0,68919076130.0,10267632533.0,12590655374.0,686153204379.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,76.480.000,35.333.918.451,12.945.462.872,1.435.810.000,91.395.455,49.883.066.778,76480000.0,35333918451.0,12945462872.0,1435810000.0,91395455.0,49883066778.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá: > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.868.506.333,-,-,-,204.092.126,2.072.598.459,1868506333.0,,,,204092126.0,2072598459.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(11.327.757.499),(30.607.186.460),(3.708.593.101),(924.652.804),(478.446.529),(47.046.636.393),-11327757499.0,-30607186460.0,-3708593101.0,-924652804.0,-478446529.0,-47046636393.0
Giảm do thanh lý công ty con,Nguyên giá: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(33.359.752.328),(37.493.721.439),(2.230.153.283),(77.263.636),(7.173.213.613),(80.334.104.299),-33359752328.0,-37493721439.0,-2230153283.0,-77263636.0,-7173213613.0,-80334104299.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,203.115.035.799,315.751.291.601,75.925.792.618,10.701.526.093,5.234.482.813,610.728.128.924,203115035799.0,315751291601.0,75925792618.0,10701526093.0,5234482813.0,610728128924.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,6.433.884.278,20.446.123.218,27.422.061.077,6.012.158.984,2.149.127.939,62.463.355.496,6433884278.0,20446123218.0,27422061077.0,6012158984.0,2149127939.0,62463355496.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(88.073.666.640),(201.450.370.937),(42.519.916.077),(8.170.661.475),(5.617.575.220),(345.832.190.349),-88073666640.0,-201450370937.0,-42519916077.0,-8170661475.0,-5617575220.0,-345832190349.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(6.449.965.077),(16.305.317.831),(4.701.990.221),(689.452.745),(525.969.808),(28.672.695.682),-6449965077.0,-16305317831.0,-4701990221.0,-689452745.0,-525969808.0,-28672695682.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,6.019.310.157,28.699.261.744,3.691.332.322,924.652.804,217.806.381,39.552.363.408,6019310157.0,28699261744.0,3691332322.0,924652804.0,217806381.0,39552363408.0
Giảm do thanh lý công ty con,Giá trị khấu hao lũy kế: > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,12.544.722.625,22.419.922.248,1.647.756.653,51.273.484,1.782.000.851,38.445.675.861,12544722625.0,22419922248.0,1647756653.0,51273484.0,1782000851.0,38445675861.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(75.959.598.935),(166.636.504.776),(41.882.817.323),(7.884.187.932),(4.143.737.796),(296.506.846.762),-75959598935.0,-166636504776.0,-41882817323.0,-7884187932.0,-4143737796.0,-296506846762.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,157.783.892.653,147.067.910.112,26.399.160.053,2.096.971.058,6.973.080.154,340.321.014.030,157783892653.0,147067910112.0,26399160053.0,2096971058.0,6973080154.0,340321014030.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,127.155.436.864,149.114.786.825,34.042.975.295,2.817.338.161,1.090.745.017,314.221.282.162,127155436864.0,149114786825.0,34042975295.0,2817338161.0,1090745017.0,314221282162.0
