row_label_raw,row_label_full,Tên,Trụ sở,Hoạt động chính,numeric__Trụ sở,numeric__Hoạt động chính
Công ty TNHH MNS Feed,Công ty TNHH MNS Feed,Công ty TNHH MNS Feed,"Lô A4, Đường số 2, Khu Công nghiệp Sông Mây, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Sản xuất và chế biến thức ăn gia súc, gia cầm và thủy sản",,
Công ty Cổ phần Dính dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dính dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dính dưỡng Nông nghiệp Quốc tế,"Lô A4, Đường số 2, Khu Công nghiệp Sông Mây, Huyện Tràng Bom, Tỉnh Đồng Nai, Việt Nam","Sản xuất và chế biến thức ăn gia súc, gia cầm và thủy sản; chăn nuôi gia súc và gia cầm",,
