row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lỗ lũy kế VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lỗ lũy kế VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,2.162.182.990.000,3.200.196.495.149,(1.365.904.965.932),3.996.474.519.217,2162182990000.0,3200196495149.0,-1365904965932.0,3996474519217.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,580.419.597.869,580.419.597.869,,,580419597869.0,580419597869.0
Cổ tức,Cổ tức,Cổ tức,-,-,(1.570.391.216.456),(1.570.391.216.456),,,-1570391216456.0,-1570391216456.0
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,2.162.182.990.000,3.200.196.495.149,(2.355.876.584.519),3.006.502.900.630,2162182990000.0,3200196495149.0,-2355876584519.0,3006502900630.0
Phát hành cổ phiếu từ nguồn thẳng dư vốn cổ phần (i),Phát hành cổ phiếu từ nguồn thẳng dư vốn cổ phần (i),Phát hành cổ phiếu từ nguồn thẳng dư vốn cổ phần (i),1.081.091.480.000,(1.081.091.480.000),-,-,1081091480000.0,-1081091480000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,108.345.773.741,108.345.773.741,,,108345773741.0,108345773741.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,3.243.274.470.000,2.119.105.015.149,(2.247.530.810.778),3.114.848.674.371,3243274470000.0,2119105015149.0,-2247530810778.0,3114848674371.0
