row_label_raw,row_label_full,col_0,Phương tiênvận chuyểnVND,numeric__Phương tiênvận chuyểnVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm/số dư cuối năm,Nguyên giá > Số dư đầu năm/số dư cuối năm,Số dư đầu năm/số dư cuối năm,1.288.022.909,1288022909.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,590.343.820,590343820.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,161.002.860,161002860.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,751.346.680,751346680.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,697.679.089,697679089.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,536.676.229,536676229.0
