row_label_raw,row_label_full,col_0,Quyền sử dụng đất vô thời hạn VND,Phần mềm vi tính VND,Website của Công ty VND,Tổng VND,numeric__Quyền sử dụng đất vô thời hạn VND,numeric__Phần mềm vi tính VND,numeric__Website của Công ty VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,-,4.334.415.880,2.508.310.000,6.842.725.880,,4334415880.0,2508310000.0,6842725880.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,90.148.500.000,105.000.000,87.000.000,90.148.500.000,90148500000.0,105000000.0,87000000.0,90148500000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,90.148.500.000,4.439.415.880,2.595.310.000,97.183.225.880,90148500000.0,4439415880.0,2595310000.0,97183225880.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,3.706.262.965,627.077.484,4.333.340.449,,3706262965.0,627077484.0,4333340449.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,482.216.966,19.333.336,501.550.302,,482216966.0,19333336.0,501550302.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,4.188.479.931,646.410.820,4.834.890.751,,4188479931.0,646410820.0,4834890751.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,-,628.152.915,1.881.232.516,2.509.385.431,,628152915.0,1881232516.0,2509385431.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,90.148.500.000,250.935.949,1.948.899.180,92.348.335.129,90148500000.0,250935949.0,1948899180.0,92348335129.0
