row_label_raw,row_label_full,Tiền thu từ phát hành cổ phiếu,31,731.433.700.000,col_3,numeric__31,numeric__731.433.700.000,numeric__col_3
Thu từ vay ngắn hạn và dài hạn,Thu từ vay ngắn hạn và dài hạn,Thu từ vay ngắn hạn và dài hạn,33,2.936.469.723.356,2.968.999.745.695,33.0,2936469723356.0,2968999745695.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(2.670.692.087.058),(2.137.030.705.856),34.0,-2670692087058.0,-2137030705856.0
Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,(262.089.672),(262.089.672),35.0,-262089672.0,-262089672.0
Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,Lưu chuyển tiền thuần từ các hoạt động tài chính,40,996.949.246.626,831.706.950.167,40.0,996949246626.0,831706950167.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,39.150.918.803,(383.604.934.931),50.0,39150918803.0,-383604934931.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,54.968.812.805,438.573.747.736,60.0,54968812805.0,438573747736.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60) \),70,4,94.119.731.608,70.0,4.0,94119731608.0
