row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư và phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng vốn chủ sở hữu VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng vốn chủ sở hữu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,2.170.691.340.000,441.956.044.101,(11.890.000),97.168.783.844,20.411.145.621,443.077.701.611,3.173.293.125.177,2170691340000.0,441956044101.0,-11890000.0,97168783844.0,20411145621.0,443077701611.0,3173293125177.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,200.233.967.432,200.233.967.432,,,,,,200233967432.0,200233967432.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,8.958.293.803,4.479.146.901,(13.437.440.704),-,,,,8958293803.0,4479146901.0,-13437440704.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(4.479.146.902),(4.479.146.902),,,,,,-4479146902.0,-4479146902.0
Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,268.032.900.000,(108.514.860.000),-,-,-,(159.518.040.000),-,268032900000.0,-108514860000.0,,,,-159518040000.0,
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,2.438.724.240.000,333.441.184.101,(11.890.000),106.127.077.647,24.890.292.522,465.877.041.437,3.369.047.945.707,2438724240000.0,333441184101.0,-11890000.0,106127077647.0,24890292522.0,465877041437.0,3369047945707.0
Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,Phát hành cổ phiếu bằng tiền,731.613.700.000,(180.000.000),-,-,-,-,731.433.700.000,731613700000.0,-180000000.0,,,,,731433700000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,82.817.554.185,82.817.554.185,,,,,,82817554185.0,82817554185.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,20.023.396.743,-,(20.023.396.743),-,,,,20023396743.0,,-20023396743.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(20.023.396.743),(20.023.396.743),,,,,,-20023396743.0,-20023396743.0
Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,Phát hành cổ phiếu thưởng,221.888.810.000,-,-,-,-,(221.888.810.000),-,221888810000.0,,,,,-221888810000.0,
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,3.392.226.750.000,333.261.184.101,(11.890.000),126.150.474.390,24.890.292.522,286.758.992.136,4.163.275.803.149,3392226750000.0,333261184101.0,-11890000.0,126150474390.0,24890292522.0,286758992136.0,4163275803149.0
