row_label_raw,row_label_full,"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_1","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_2","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_3","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_4","Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_5","numeric__Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_1","numeric__Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_2","numeric__Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_3","numeric__Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_4","numeric__Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn_5"
,,,1/1/2018,1/1/2018,Biến động trong năm,Biến động trong năm,31/12/2018,,,,,
,,,Giá trị ghi số / Số có khả năng trả nợ VND,Tăng VND,Giảm VND,Phân loại sang trái phiếu dài hạn (Thuyết minh 21(b)(**)) VND,Giá trị ghi số / Số có khả năng trả nợ VND,,,,,
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),802.197.696.217,1.792.066.616.842,(1.863.399.143.273),-,730.865.169.786,802197696217.0,1792066616842.0,-1863399143273.0,,730865169786.0
Trái phiếu thường ngắn hạn (**),Trái phiếu thường ngắn hạn (**),Trái phiếu thường ngắn hạn (**),300.000.000.000,300.000.000.000,-,(300.000.000.000),300.000.000.000,300000000000.0,300000000000.0,,-300000000000.0,300000000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,217.045.874.242,112.954.369.597,(217.045.874.242),-,112.954.369.597,217045874242.0,112954369597.0,-217045874242.0,,112954369597.0
Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu thường đáo hạn trong vòng 12 tháng,Trái phiếu thường đáo hạn trong vòng 12 tháng,-,160.000.000.000,-,-,160.000.000.000,,160000000000.0,,,160000000000.0
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,262.089.676,109.204.034,(262.089.676),-,109.204.034,262089676.0,109204034.0,-262089676.0,,109204034.0
,,,1.319.505.660.135,2.365.130.190.473,(2.080.707.107.191),(300.000.000.000),1.303.928.743.417,1319505660135.0,2365130190473.0,-2080707107191.0,-300000000000.0,1303928743417.0
