row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Địa chỉ,Số lượng cố phần,% sở hữu,% quyền biểu quyết,Giá gốc VND,Dự phòng giảm giá giá trị đầu tư VND,Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Số lượng cố phần,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__Giá gốc VND,numeric__Dự phòng giảm giá giá trị đầu tư VND,numeric__Giá trị hợp lý VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",70.000.000.000,-,(*),,,1.0,1.0,70000000000.0,,
Công ty Cổ phần Năng lượng Thương Tín (a),Công ty con > Công ty Cổ phần Năng lượng Thương Tín (a),Công ty Cổ phần Năng lượng Thương Tín (a),"278 Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành phố Hồ Chí Minh",1.810.494,"52,00%","52,00%",18.104.940.000,(3.252.595.842),(*),,1810494.0,0.52,0.52,18104940000.0,-3252595842.0,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",21.352.500,"94,90%","94,90%",219.163.852.083,(76.586.406.392),(*),,21352500.0,0.9490000000000001,0.9490000000000001,219163852083.0,-76586406392.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty con > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,"16/9 Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",27.305.397,"92,20%","92,20%",293.940.224.000,-,(*),,27305397.0,0.922,0.922,293940224000.0,,
Công ty TNHH Quản lý Dịch vụ Địa ốc Sài gòn Thương Tín (b),Công ty con > Công ty TNHH Quản lý Dịch vụ Địa ốc Sài gòn Thương Tín (b),Công ty TNHH Quản lý Dịch vụ Địa ốc Sài gòn Thương Tín (b),"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",-,"50,00%","50,00%",5.000.000.000,-,(*),,,0.5,0.5,5000000000.0,,
Công ty Cổ phần Mai Lan (c),Công ty con > Công ty Cổ phần Mai Lan (c),Công ty Cổ phần Mai Lan (c),"129 Âu Cơ, Phường 14, Quận Tân Bình, Thành phố Hồ Chí Minh",5.563.801,"90,07%","90,07%",145.869.243.328,(88.455.898),(*),,5563801.0,0.9007,0.9007,145869243328.0,-88455898.0,
Công ty TNHH Thương Tín – CJ Cầu Tre (d),Công ty con > Công ty TNHH Thương Tín – CJ Cầu Tre (d),Công ty TNHH Thương Tín – CJ Cầu Tre (d),"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",-,"63,43%","74,00%",444.000.000.000,-,(*),,,0.6343,0.74,444000000000.0,,
Công Ty TNHH MTV Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm (trước đây là Công ty Cổ phần Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm) (e),Công ty con > Công Ty TNHH MTV Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm (trước đây là Công ty Cổ phần Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm) (e),Công Ty TNHH MTV Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm (trước đây là Công ty Cổ phần Đầu Tư Kinh Doanh Bất Động Sản Hùng Anh Năm) (e),"253 Hoàng Văn Thụ, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh",-,"100,00%","100,00%",537.079.300.000,(16.876.512.225),(*),,,1.0,1.0,537079300000.0,-16876512225.0,
Công ty CP Thương mại Nguyễn Kim Đà Nẵng (f),Công ty con > Công ty CP Thương mại Nguyễn Kim Đà Nẵng (f),Công ty CP Thương mại Nguyễn Kim Đà Nẵng (f),"46 Điện Biên Phú, Phường Chính Gián, Quận Thanh Khê, Thành phố Đà Nẵng",-,"90,00%","90,00%",608.400.000.000,(28.106.273.487),(*),,,0.9,0.9,608400000000.0,-28106273487.0,
