row_label_raw,row_label_full,Loại phát hànhtheo mệnh giá,Số cuối năm(VND) > 250.000.000.000,"Kỳ hạn trả gốc và lãi > Kỳ hạn trái phiếu 3 năm. Trái phiếu trả gốc một phần hàng năm, khoản trả gốc cuối cùng vào năm 2023.Lãi được trả hàng quý.","Lãi suất > 8,8%/năm",numeric__Số cuối năm(VND) > 250.000.000.000,"numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn trái phiếu 3 năm. Trái phiếu trả gốc một phần hàng năm, khoản trả gốc cuối cùng vào năm 2023.Lãi được trả hàng quý.","numeric__Lãi suất > 8,8%/năm"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,250.000.000.000,,,250000000000.0,,
Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,Trong đó:Trái phiếu đếnhạn trảTrái phiếu dài hạn,100.000.000.000150.000.000.000,,,1.0000000000015e+23,,
