row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm (VND) > 794.062.537.742,Đơn vị tính: VND > Kỳ hạn trả gốc và lãi > Kỳ hạn gốc vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 6 năm 2022 đến tháng 1 năm 2029.Lãi vay trả hàng tháng.,"Đơn vị tính: VND > Lãi suất năm > 8,5% - 11,5%",numeric__Số cuối năm (VND) > 794.062.537.742,numeric__Đơn vị tính: VND > Kỳ hạn trả gốc và lãi > Kỳ hạn gốc vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 6 năm 2022 đến tháng 1 năm 2029.Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VND > Lãi suất năm > 8,5% - 11,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,794.062.537.742,,,794062537742.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,348.770.561.557445.291.976.185,,,3.487705615574453e+23,,
