row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Bán hàng,Mua hàng,Chi phí sử dụng tài sản,Lãi vay phân bổ,Lợi nhuận được chia,numeric__Mối quan hệ,numeric__Bán hàng,numeric__Mua hàng,numeric__Chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lợi nhuận được chia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,168.618.637.987,-,35.161.666.239,2.083.478.037,-,,168618637987.0,,35161666239.0,2083478037.0,
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,350.676.313.900,-,-,-,37.861.949.975,,350676313900.0,,,,37861949975.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,90.987.079.380,-,312.800.004,-,29.340.779.546,,90987079380.0,,312800004.0,,29340779546.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty con,202.317.317.182,-,22.967.611.020,900.781.033,-,,202317317182.0,,22967611020.0,900781033.0,
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty con,1.067.652.389.265,-,-,-,590.736.043.848,,1067652389265.0,,,,590736043848.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,-,1.313.650.000,12.864.300.264,22.098.448.910,-,,,1313650000.0,12864300264.0,22098448910.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,1.386.214.896.144,-,11.081.788.771,4.056.639.486,23.460.794.116,,1386214896144.0,,11081788771.0,4056639486.0,23460794116.0
Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty con,44.261.746.045,-,-,-,-,,44261746045.0,,,,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,204.000.000,67.970.813.567,-,5.283.698.550,5.745.964.475,,204000000.0,67970813567.0,,5283698550.0,5745964475.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,-,53.482.360.344,4.917.719.360,777.236.380,8.853.935.743,,,53482360344.0,4917719360.0,777236380.0,8853935743.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,-,1.221.146.196,-,2.000.000.000,,,,1221146196.0,,2000000000.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,133.371.438.120,-,5.563.610.904,-,50.710.242.034,,133371438120.0,,5563610904.0,,50710242034.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,754.489.554.175,-,4.989.048.312,808.647.193,-,,754489554175.0,,4989048312.0,808647193.0,
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,149.404.136.840,-,21.880.065.060,4.334.403.917,12.855.192.050,,149404136840.0,,21880065060.0,4334403917.0,12855192050.0
Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty con,124.505.985.835,-,424.284.852,-,31.800.337.330,,124505985835.0,,424284852.0,,31800337330.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,30.400.042.410,-,-,12.338.575.401,101.220.957.163,,30400042410.0,,,12338575401.0,101220957163.0
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,1.930.462.956.380,1.279.093.544.489,9.778.541.292,20.333.843.737,-,,1930462956380.0,1279093544489.0,9778541292.0,20333843737.0,
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,38.109.606.863,-,6.696.199.308,18.885.041.742,-,,38109606863.0,,6696199308.0,18885041742.0,
Công ty TNHH Cụm KCN Khúc Xuyên,Công ty TNHH Cụm KCN Khúc Xuyên,Công ty TNHH Cụm KCN Khúc Xuyên,Công ty con,-,-,-,-,88.683.607.726,,,,,,88683607726.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.471.676.100.526,1.401.860.368.400,137.858.781.582,91.900.794.386,983.269.804.006,,6471676100526.0,1401860368400.0,137858781582.0,91900794386.0,983269804006.0
