row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,57.410.708.980,(57.410.708.980),-,,57410708980.0,-57410708980.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,20.614.508.109,85.469.265.971,(58.919.786.850),47.163.987.230,20614508109.0,85469265971.0,-58919786850.0,47163987230.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,36.591.296.451,(36.591.296.451),-,,36591296451.0,-36591296451.0,
Thuế khác,Phải nộp > Thuế khác,Thuế khác,82.107.000,16.703.668.089,(16.785.775.089),-,82107000.0,16703668089.0,-16785775089.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,20.696.615.109,196.174.939.491,(169.707.567.370),47.163.987.230,20696615109.0,196174939491.0,-169707567370.0,47163987230.0
,,,Số đầu năm,Số kê khai trong năm,Số đã cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,26.422.928.537,47.999.043.983,(57.410.708.980),17.011.263.540,26422928537.0,47999043983.0,-57410708980.0,17011263540.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,26.422.928.537,47.999.043.983,(57.410.708.980),17.011.263.540,26422928537.0,47999043983.0,-57410708980.0,17011263540.0
