row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Dự án chăn nuôi Thanh Hóa,Dự án chăn nuôi Thanh Hóa,Dự án chăn nuôi Thanh Hóa,76.726.475.074,-,76726475074.0,
Dự án khách sạn tại Đà Nẵng,Dự án khách sạn tại Đà Nẵng,Dự án khách sạn tại Đà Nẵng,71.765.641.065,-,71765641065.0,
Trung tâm nghề Lạc Vệ,Trung tâm nghề Lạc Vệ,Trung tâm nghề Lạc Vệ,56.289.429.927,43.924.344.927,56289429927.0,43924344927.0
Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,Dự án cảng Dabaco - giai đoạn 2,31.776.658.492,27.015.794.050,31776658492.0,27015794050.0
Dự án chung cư Huyền Quang,Dự án chung cư Huyền Quang,Dự án chung cư Huyền Quang,30.619.012.684,30.619.012.684,30619012684.0,30619012684.0
Dự án trung tâm thương mại Đại Phúc,Dự án trung tâm thương mại Đại Phúc,Dự án trung tâm thương mại Đại Phúc,27.188.262.276,27.188.262.276,27188262276.0,27188262276.0
Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,Dự án khu chăn nuôi Hà Tĩnh,18.053.547.032,15.624.949.272,18053547032.0,15624949272.0
Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),Dự án lợn giống Dabaco Phú Thọ - giai đoạn 3 (*),23.516.931.194,10.049.519.591,23516931194.0,10049519591.0
Dự án trung tâm thương mại Yên Phong,Dự án trung tâm thương mại Yên Phong,Dự án trung tâm thương mại Yên Phong,12.448.246.504,12.448.246.504,12448246504.0,12448246504.0
Nhà máy phân bón hữu cơ Việt Nhật,Nhà máy phân bón hữu cơ Việt Nhật,Nhà máy phân bón hữu cơ Việt Nhật,-,221.481.044.981,,221481044981.0
Dự án nhà máy thủy sản Nutreco,Dự án nhà máy thủy sản Nutreco,Dự án nhà máy thủy sản Nutreco,-,135.208.661.559,,135208661559.0
Dự án nhà máy Nutreco Hà Tĩnh,Dự án nhà máy Nutreco Hà Tĩnh,Dự án nhà máy Nutreco Hà Tĩnh,-,77.898.398.977,,77898398977.0
Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,Dự án kho nguyên liệu Hạp Lĩnh,-,32.622.544.100,,32622544100.0
Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,Dự án siêu thị Thuận Thành,-,13.118.093.652,,13118093652.0
Các dự án khác,Các dự án khác,Các dự án khác,47.095.988.607,41.611.861.689,47095988607.0,41611861689.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,395.480.192.855,688.810.734.262,395480192855.0,688810734262.0
