row_label_raw,row_label_full,STT,Tên đơn vị,Giá trị(VND),Dự phòng (VND),Tỷ lệ vốn góp thực tế,Tỷ lệ biểu quyết,Giá trị(VND)_1,Dự phòng (VND)_1,Tỷ lệ vốn góp thực tế_1,Tỷ lệ biểu quyết_1,numeric__Tên đơn vị,numeric__Giá trị(VND),numeric__Dự phòng (VND),numeric__Tỷ lệ vốn góp thực tế,numeric__Tỷ lệ biểu quyết,numeric__Giá trị(VND)_1,numeric__Dự phòng (VND)_1,numeric__Tỷ lệ vốn góp thực tế_1,numeric__Tỷ lệ biểu quyết_1
1,1,1,Công ty TNHH Lợn giống hạt nhân Dabaco,121.312.447.573,-,100%,100%,121.312.447.573,-,100%,100%,,121312447573.0,,1.0,1.0,121312447573.0,,1.0,1.0
2,2,2,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.896,-,100%,100%,30.551.441.896,-,100%,100%,,30551441896.0,,1.0,1.0,30551441896.0,,1.0,1.0
3,3,3,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,25.678.384.595,(25.678.384.595),100%,100%,25.678.384.595,(25.678.384.595),100%,100%,,25678384595.0,-25678384595.0,1.0,1.0,25678384595.0,-25678384595.0,1.0,1.0
4,4,4,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,30.000.000.000,-,100%,100%,20.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,20000000000.0,,1.0,1.0
5,5,5,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,(10.000.000.000),100%,100%,10.000.000.000,(10.000.000.000),100%,100%,,10000000000.0,-10000000000.0,1.0,1.0,10000000000.0,-10000000000.0,1.0,1.0
6,6,6,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,30.000.000.000,-,100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,30000000000.0,,1.0,1.0
7,7,7,Công ty TNHH MTV Thương mại Hiệp Quang,71.283.160.000,-,100%,100%,71.283.160.000,-,100%,100%,,71283160000.0,,1.0,1.0,71283160000.0,,1.0,1.0
8,8,8,Công ty TNHH Nutreco,50.190.568.966,-,100%,100%,50.190.568.966,-,100%,100%,,50190568966.0,,1.0,1.0,50190568966.0,,1.0,1.0
9,9,9,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,118.000.000.000,(80.632.158.409),100%,100%,118.000.000.000,(100.665.759.135),100%,100%,,118000000000.0,-80632158409.0,1.0,1.0,118000000000.0,-100665759135.0,1.0,1.0
10,10,10,Công ty TNHH Du lịch và Khách sạn Le Indochina,179.369.777.041,(32.481.107.925),100%,100%,179.369.777.041,(34.842.109.419),100%,100%,,179369777041.0,-32481107925.0,1.0,1.0,179369777041.0,-34842109419.0,1.0,1.0
11,11,11,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,100.000.000.000,(3.145.247.107),100%,100%,100.000.000.000,(14.086.601.705),100%,100%,,100000000000.0,-3145247107.0,1.0,1.0,100000000000.0,-14086601705.0,1.0,1.0
12,12,12,Công ty TNHH Lợn giống Hải Phòng,35.000.000.000,-,100%,100%,35.000.000.000,-,100%,100%,,35000000000.0,,1.0,1.0,35000000000.0,,1.0,1.0
13,13,13,Công ty TNHH Lợn giống Hà Nam,40.000.000.000,(22.488.385.556),100%,100%,40.000.000.000,(23.762.417.926),100%,100%,,40000000000.0,-22488385556.0,1.0,1.0,40000000000.0,-23762417926.0,1.0,1.0
14,14,14,Công ty TNHH Lợn giống Dabaco Lương Tài,50.000.000.000,-,100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,,1.0,1.0
15,15,15,Công ty TNHH Lợn giống Phú Thọ,50.000.000.000,-,100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,,1.0,1.0
16,16,16,Công ty TNHH Dabaco Tuyên Quang,50.000.000.000,-,100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,,1.0,1.0
17,17,17,Công ty TNHH Đầu thực vật Dabaco,280.015.514.372,-,100%,100%,100.015.514.372,-,100%,100%,,280015514372.0,,1.0,1.0,100015514372.0,,1.0,1.0
18,18,18,Công ty TNHH Dabaco Bình Phước,81.498.269.770,(81.498.269.770),100%,100%,81.498.269.770,(81.498.269.770),100%,100%,,81498269770.0,-81498269770.0,1.0,1.0,81498269770.0,-81498269770.0,1.0,1.0
,,,TỔNG CỘNG,1.352.899.564.213,(255.923.553.362),,,1.162.899.564.213,(290.533.542.550),,,,1352899564213.0,-255923553362.0,,,1162899564213.0,-290533542550.0,,
