row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số đầu năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),Đơn vị tính: VND Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số đầu năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Đơn vị tính: VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,19.1,1.137.505.440.209,6.162.874.036.641,(5.787.892.870.431),1.512.486.606.419,,191.0,1137505440209.0,6162874036641.0,-5787892870431.0,1512486606419.0,
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,19.2,354.419.322.901,398.791.805.257,(404.440.566.601),348.770.561.557,,192.0,354419322901.0,398791805257.0,-404440566601.0,348770561557.0,
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,19.3,89.975.727.024,59.524.215.916,(90.524.327.022),58.975.615.918,,193.0,89975727024.0,59524215916.0,-90524327022.0,58975615918.0,
Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay ngắn hạn > Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn đến hạn trả từ Quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,19.4,-,94.000.000.000,-,94.000.000.000,,194.0,,94000000000.0,,94000000000.0,
Trái phiếu đến hạn trả,Vay ngắn hạn > Trái phiếu đến hạn trả,Trái phiếu đến hạn trả,19.5,50.000.000.000,100.000.000.000,(50.000.000.000),100.000.000.000,,195.0,50000000000.0,100000000000.0,-50000000000.0,100000000000.0,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.631.900.490.134,6.815.190.057.814,(6.332.857.764.054),2.114.232.783.894,,,1631900490134.0,6815190057814.0,-6332857764054.0,2114232783894.0,
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,19.2,716.346.845.689,245.236.935.753,(516.291.805.257),445.291.976.185,,192.0,716346845689.0,245236935753.0,-516291805257.0,445291976185.0,
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,19.3,118.091.605.415,3.017.300.000,(59.524.215.916),61.584.689.499,,193.0,118091605415.0,3017300000.0,-59524215916.0,61584689499.0,
Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,Vay dài hạn từ quỹ Đầu tư và Phát triển UBND tỉnh Bắc Ninh,19.4,94.000.000.000,-,(94.000.000.000),-,,194.0,94000000000.0,,-94000000000.0,,
Trái phiếu doanh nghiệp,Vay dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,19.5,250.000.000.000,-,(100.000.000.000),150.000.000.000,,195.0,250000000000.0,,-100000000000.0,150000000000.0,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.178.438.451.104,248.254.235.753,(769.816.021.173),656.876.665.684,,,1178438451104.0,248254235753.0,-769816021173.0,656876665684.0,
