row_label_raw,row_label_full,Số đầu năm > - Trích lập trong năm (Thuyết minh số 21.1),Năm nay > 22.087.755.882 > 113.546.424.000,Đơn vị tính: VND > Năm trước > 43.062.152.267 > 16.597.540.000,numeric__Năm nay > 22.087.755.882 > 113.546.424.000,numeric__Đơn vị tính: VND > Năm trước > 43.062.152.267 > 16.597.540.000
- Tăng khác,- Tăng khác,- Tăng khác,115.236.000,-,115236000.0,
- Sử dụng trong năm,- Sử dụng trong năm,- Sử dụng trong năm,(46.060.596.000),(37.571.936.385),-46060596000.0,-37571936385.0
Số cuối năm,Số cuối năm,Số cuối năm,89.688.819.882,22.087.755.882,89688819882.0,22087755882.0
