row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số đầu năm
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,543.426.813.041,514.799.985.363,543426813041.0,514799985363.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,543.426.813.041,514.799.985.363,543426813041.0,514799985363.0
