row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và hoạt động thương mại khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,8.393.319.011.079,350.784.413.139,(4.395.845.799),8.739.707.578.419,8393319011079.0,350784413139.0,-4395845799.0,8739707578419.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Lợi nhuận kế toán,Kết quả > Lợi nhuận kế toán,Lợi nhuận kế toán,344.878.383.386,141.703.370.055,-,486.581.753.441,344878383386.0,141703370055.0,,486581753441.0
Lợi nhuận không phân bổ,Kết quả > Lợi nhuận không phân bổ,Lợi nhuận không phân bổ,,,,983.269.804.006,,,,983269804006.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,1.469.851.557.447,,,,1469851557447.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,(85.469.265.971),,,,-85469265971.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,1.384.382.291.476,,,,1384382291476.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,9.585.581.538.063,,,,9585581538063.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.817.096.289.181,889.299.839.838,-,7.706.396.129.019,6817096289181.0,889299839838.0,,7706396129019.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),,,,1.879.185.409.044,,,,1879185409044.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,4.944.386.428.341,,,,4944386428341.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.293.361.984.851,651.024.443.490,-,4.944.386.428.341,4293361984851.0,651024443490.0,,4944386428341.0
(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính ngắn hạn và dài hạn.,,,,
