row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 910.998.280.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 1.348.229.907.709 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 198.850.646.243 > 950.288.317.573,Đơn vị tính: VND Tổng cộng > Năm trước: > 2.876.412.826.173 > 950.288.317.573,numeric__Vốn cổ phần đã phát hành > Năm trước: > 910.998.280.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 1.348.229.907.709 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 198.850.646.243 > 950.288.317.573,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 2.876.412.826.173 > 950.288.317.573
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,136.640.830.000,-,-,(136.640.830.000),-,136640830000.0,,,-136640830000.0,
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,149.377.868.224,(149.377.868.224),-,,,149377868224.0,-149377868224.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(16.597.540.000),(16.597.540.000),,,,-16597540000.0,-16597540000.0
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,(202.695.780.500),(202.695.780.500),,,,-202695780500.0,-202695780500.0
Số cuối năm,Số cuối năm,Số cuối năm,1.047.639.110.000,418.333.992.221,1.497.607.775.933,643.826.945.092,3.607.407.823.246,1047639110000.0,418333992221.0,1497607775933.0,643826945092.0,3607407823246.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.047.639.110.000,418.333.992.221,1.497.607.775.933,643.826.945.092,3.607.407.823.246,1047639110000.0,418333992221.0,1497607775933.0,643826945092.0,3607407823246.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.384.382.291.476,1.384.382.291.476,,,,1384382291476.0,1384382291476.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),104.755.190.000,-,-,(104.763.911.000),(8.721.000),104755190000.0,,,-104763911000.0,-8721000.0
- Trích lập quỹ đầu tư phát triển (*),Năm nay: > - Trích lập quỹ đầu tư phát triển (*),- Trích lập quỹ đầu tư phát triển (*),-,-,1.021.917.830.828,(1.021.917.830.828),-,,,1021917830828.0,-1021917830828.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(113.546.424.000),(113.546.424.000),,,,-113546424000.0,-113546424000.0
- Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),Năm nay: > - Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),- Thù lao Hội đồng Quản trị và Ban Kiểm soát (*),-,-,-,(6.561.000.000),(6.561.000.000),,,,-6561000000.0,-6561000000.0
- Tạm ứng cổ tức bằng tiền (**),Năm nay: > - Tạm ứng cổ tức bằng tiền (**),- Tạm ứng cổ tức bằng tiền (**),-,-,-,(230.478.860.000),(230.478.860.000),,,,-230478860000.0,-230478860000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.152.394.300.000,418.333.992.221,2.519.525.606.761,550.941.210.740,4.641.195.109.722,1152394300000.0,418333992221.0,2519525606761.0,550941210740.0,4641195109722.0
