row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.042.456.887.136,611.392.149.904,131.603.852.582,6.578.269.269,1.792.031.158.891,1042456887136.0,611392149904.0,131603852582.0,6578269269.0,1792031158891.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,11.632.445.925,18.140.520.000,115.640.000,29.888.605.925,,11632445925.0,18140520000.0,115640000.0,29888605925.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,215.448.785.882,306.721.645.526,6.147.454.545,912.089.999,529.229.975.952,215448785882.0,306721645526.0,6147454545.0,912089999.0,529229975952.0
- Phân loại từ tài sản thuê tài chính,Nguyên giá: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,115.243.564.072,-,-,115.243.564.072,,115243564072.0,,,115243564072.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(130.504.700),(7.034.913.631),(3.847.122.593),(286.287.191),(11.298.828.115),-130504700.0,-7034913631.0,-3847122593.0,-286287191.0,-11298828115.0
- Tài sản điều chuyển cho công ty con (*),Nguyên giá: > - Tài sản điều chuyển cho công ty con (*),- Tài sản điều chuyển cho công ty con (*),(54.400.790.968),(13.257.385.193),-,-,(67.658.176.161),-54400790968.0,-13257385193.0,,,-67658176161.0
- Giảm khác (**),Nguyên giá: > - Giảm khác (**),- Giảm khác (**),(11.676.269.121),-,-,-,(11.676.269.121),-11676269121.0,,,,-11676269121.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.191.698.108.229,1.024.697.506.603,152.044.704.534,7.319.712.077,2.375.760.031.443,1191698108229.0,1024697506603.0,152044704534.0,7319712077.0,2375760031443.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,5.694.696.727,113.532.734.136,54.639.836.255,4.001.445.306,177.868.712.424,5694696727.0,113532734136.0,54639836255.0,4001445306.0,177868712424.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,345.715.391.194,348.092.539.745,85.963.754.857,6.350.427.516,786.122.113.312,345715391194.0,348092539745.0,85963754857.0,6350427516.0,786122113312.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,61.589.300.894,58.550.373.383,9.076.491.068,1.071.415.455,130.287.580.800,61589300894.0,58550373383.0,9076491068.0,1071415455.0,130287580800.0
- Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ tài sản thuê tài chính,- Phân loại từ tài sản thuê tài chính,-,60.791.870.918,-,-,60.791.870.918,,60791870918.0,,,60791870918.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(130.504.700),(6.522.413.631),(3.825.282.883),(286.287.191),(10.764.488.405),-130504700.0,-6522413631.0,-3825282883.0,-286287191.0,-10764488405.0
- Điều chuyển tài sản cho công ty con (*),Giá trị khấu hao lũy kế: > - Điều chuyển tài sản cho công ty con (*),- Điều chuyển tài sản cho công ty con (*),(4.430.947.759),(4.122.268.881),-,-,(8.553.216.640),-4430947759.0,-4122268881.0,,,-8553216640.0
- Giảm khác (**),Giá trị khấu hao lũy kế: > - Giảm khác (**),- Giảm khác (**),(1.973.123.829),-,-,-,(1.973.123.829),-1973123829.0,,,,-1973123829.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,400.770.115.800,456.790.101.534,91.214.963.042,7.135.555.780,955.910.736.156,400770115800.0,456790101534.0,91214963042.0,7135555780.0,955910736156.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,696.741.495.942,263.299.610.159,45.640.097.725,227.841.753,1.005.909.045.579,696741495942.0,263299610159.0,45640097725.0,227841753.0,1005909045579.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,790.927.992.429,567.907.405.069,60.829.741.492,184.156.297,1.419.849.295.287,790927992429.0,567907405069.0,60829741492.0,184156297.0,1419849295287.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để thế chấp (***),Trong đó: > Tài sản sử dụng để thế chấp (***),Tài sản sử dụng để thế chấp (***),303.485.061.587,270.876.248.105,12.987.568.079,184.156.297,587.533.034.068,303485061587.0,270876248105.0,12987568079.0,184156297.0,587533034068.0
