row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 6.1)
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,588.023.842.727,542.328.921.297,,588023842727.0,542328921297.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,417.278.648.287,-,,417278648287.0,
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,398.187.524.000,356.369.041.388,,398187524000.0,356369041388.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,208.848.901.489,202.406.583.656,,208848901489.0,202406583656.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,204.642.189.117,158.277.889.902,,204642189117.0,158277889902.0
Công ty TNHH Lợn Giống Phú Thọ,Công ty TNHH Lợn Giống Phú Thọ,Công ty TNHH Lợn Giống Phú Thọ,Công ty con,200.409.917.843,105.193.360.280,,200409917843.0,105193360280.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,180.597.103.887,125.133.648.893,,180597103887.0,125133648893.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,162.656.566.383,120.059.961.132,,162656566383.0,120059961132.0
Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty Lợn giống Hải Phòng,Công ty con,115.226.157.176,72.140.564.541,,115226157176.0,72140564541.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty con,104.897.013.107,-,,104897013107.0,
Công ty TNHH Lợn giống Lương Tài,Công ty TNHH Lợn giống Lương Tài,Công ty TNHH Lợn giống Lương Tài,Công ty con,92.009.614.771,16.626.195.523,,92009614771.0,16626195523.0
Công ty TNHH Xây dựng đường H2,Công ty TNHH Xây dựng đường H2,Công ty TNHH Xây dựng đường H2,Công ty con,83.174.471.868,57.331.381.868,,83174471868.0,57331381868.0
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,73.797.903.253,-,,73797903253.0,
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,19.885.051.329,118.632.417.883,,19885051329.0,118632417883.0
Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lạc Vệ,Công ty con,18.671.271.497,-,,18671271497.0,
Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty TNHH Dabaco Hòa Bình,Công ty con,16.688.251.000,-,,16688251000.0,
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,8.636.458.690,-,,8636458690.0,
Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,110.000.000,-,,110000000.0,
Công ty TNHH Lợn Giống Dabaco Hà Tĩnh,Công ty TNHH Lợn Giống Dabaco Hà Tĩnh,Công ty TNHH Lợn Giống Dabaco Hà Tĩnh,Công ty con,28.300.000,-,,28300000.0,
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,-,18.142.393.138,,,18142393138.0
Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty TNHH Du lịch và Khách sạn Le Indochina,Công ty con,-,249.582.794,,,249582794.0
,,,,2.893.769.186.424,1.892.891.942.295,,2893769186424.0,1892891942295.0
