row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,"Máy móc, thiết bị",
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,606.616.961.084,606616961084.0
- Phân loại sang TSCĐ hữu hình,Nguyên giá: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(115.243.564.072),-115243564072.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(7.614.750),-7614750.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,491.365.782.262,491365782262.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,151.597.865.350,151597865350.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,56.352.455.717,56352455717.0
- Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(60.791.870.918),-60791870918.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,147.158.450.149,147158450149.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,455.019.095.734,455019095734.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,344.207.332.113,344207332113.0
