row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,12.094.756.795.679,7.409.353.474.617,12094756795679.0,7409353474617.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,Trong đó: > Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,Doanh thu từ hoạt động sản xuất và kinh doanh thiết bị điện,10.529.742.641.281,7.245.516.959.000,10529742641281.0,7245516959000.0
Doanh thu cung cấp dịch vụ vận tải và kho vận,Trong đó: > Doanh thu cung cấp dịch vụ vận tải và kho vận,Doanh thu cung cấp dịch vụ vận tải và kho vận,1.091.292.217.322,-,1091292217322.0,
Doanh thu bán điện,Trong đó: > Doanh thu bán điện,Doanh thu bán điện,213.287.394.083,-,213287394083.0,
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,260.434.542.993,163.836.515.617,260434542993.0,163836515617.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(110.615.725.882),(112.240.139.749),-110615725882.0,-112240139749.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(102.079.436.987),(97.481.015.224),-102079436987.0,-97481015224.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(8.536.288.895),(14.759.124.525),-8536288895.0,-14759124525.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,11.984.141.069.797,7.297.113.334.868,11984141069797.0,7297113334868.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,11.909.924.315.286,7.296.626.243.999,11909924315286.0,7296626243999.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,74.216.754.511,487.090.869,74216754511.0,487090869.0
