row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm (Trình bày lại) > Giá gốc,Số đầu năm (Trình bày lại) > Giá trị hợp lý,Số đầu năm (Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm (Trình bày lại) > Giá gốc,numeric__Số đầu năm (Trình bày lại) > Giá trị hợp lý,numeric__Số đầu năm (Trình bày lại) > Dự phòng
Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,Chứng khoán kinh doanh:,,,,,,
- Trái phiếu (i),Chứng khoán kinh doanh: > - Trái phiếu (i),- Trái phiếu (i),628.146.597.200,628.146.597.200,-,197.046.708.523,197.046.708.523,-,628146597200.0,628146597200.0,,197046708523.0,197046708523.0,
- Chứng chỉ quỹ (ii),Chứng khoán kinh doanh: > - Chứng chỉ quỹ (ii),- Chứng chỉ quỹ (ii),50.000.000.000,50.000.000.000,-,-,-,-,50000000000.0,50000000000.0,,,,
- Ủy thác đầu tư (iii),Chứng khoán kinh doanh: > - Ủy thác đầu tư (iii),- Ủy thác đầu tư (iii),124.903.826.847,101.929.470.527,(22.974.356.320),-,-,-,124903826847.0,101929470527.0,-22974356320.0,,,
- Chứng khoán niêm yết (iv),Chứng khoán kinh doanh: > - Chứng khoán niêm yết (iv),- Chứng khoán niêm yết (iv),105.989.547.956,96.037.048.320,(12.662.519.636),-,-,-,105989547956.0,96037048320.0,-12662519636.0,,,
- Chứng khoán chưa niêm yết,Chứng khoán kinh doanh: > - Chứng khoán chưa niêm yết,- Chứng khoán chưa niêm yết,556.000.000,556.000.000,-,-,-,-,556000000.0,556000000.0,,,,
TỔNG CỘNG,Chứng khoán kinh doanh: > TỔNG CỘNG,TỔNG CỘNG,909.595.972.003,876.669.116.047,(35.636.875.956),197.046.708.523,197.046.708.523,-,909595972003.0,876669116047.0,-35636875956.0,197046708523.0,197046708523.0,
(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,(i) Chi tiết các khoản đầu tư trái phiếu theo các hợp đồng như sau:,,,,,,
Tổ chức phát hành,Tổ chức phát hành,Tổ chức phát hành,Số cuối năm VND,Số cuối năm VND,Kỳ hạn trả gốc và lãi,Lãi suất (%/năm),Hình thức đảm bảo,Hình thức đảm bảo,,,,,,
Công ty Cổ phần Chứng khoán IB,Tổ chức phát hành > Công ty Cổ phần Chứng khoán IB,Công ty Cổ phần Chứng khoán IB,139.524.375.000,139.524.375.000,"Kỳ hạn 2 năm, lãi được nhận 6 tháng một lần, đáo hạn vào ngày 21 tháng 2 năm 2019","9,5%",Tín chấp,Tín chấp,139524375000.0,139524375000.0,,0.095,,
Công ty Cổ phần Luyện Kim Bắc Việt,Tổ chức phát hành > Công ty Cổ phần Luyện Kim Bắc Việt,Công ty Cổ phần Luyện Kim Bắc Việt,103.622.222.200,103.622.222.200,"Kỳ hạn 36 tháng, lãi được nhận hàng năm. Trái phiếu đáo hạn vào ngày 28 tháng 3 năm 2020","8,0%",(*),(*),103622222200.0,103622222200.0,,0.08,,
"Công ty Cổ phần Đầu tư Công nghệ và Giáo dục Hải An (""Công ty Hải An"")","Tổ chức phát hành > Công ty Cổ phần Đầu tư Công nghệ và Giáo dục Hải An (""Công ty Hải An"")","Công ty Cổ phần Đầu tư Công nghệ và Giáo dục Hải An (""Công ty Hải An"")",100.000.000.000,100.000.000.000,"Kỳ hạn 3 năm, lãi được nhận hàng năm, đáo hạn vào ngày 31 tháng 5 năm 2020","9,5%",(*),(*),100000000000.0,100000000000.0,,0.095,,
