row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá trị (VND),Số đầu năm > Số lượng,Số đầu năm > Giá trị (VND),numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá trị (VND)
Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,266.800.000,2.668.000.000.000,155.000.000,1.550.000.000.000,266800000.0,2668000000000.0,155000000.0,1550000000000.0
Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,266.800.000,2.668.000.000.000,155.000.000,1.550.000.000.000,266800000.0,2668000000000.0,155000000.0,1550000000000.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,266.800.000,2.668.000.000.000,155.000.000,1.550.000.000.000,266800000.0,2668000000000.0,155000000.0,1550000000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu quỹ,Cổ phiếu ưu đãi > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,500.000,5.025.000.000,,,500000.0,5025000000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,-,-,500.000,5.025.000.000,,,500000.0,5025000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,266.800.000,2.668.000.000.000,154.500.000,1.544.975.000.000,266800000.0,2668000000000.0,154500000.0,1544975000000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,266.800.000,2.668.000.000.000,154.500.000,1.544.975.000.000,266800000.0,2668000000000.0,154500000.0,1544975000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
