row_label_raw,row_label_full,col_0,col_1,Ngày 31 tháng 12năm 2016(dã được trình báytrước đây),Đơn vị tính: VND > Điều chỉnh,Đơn vị tính: VND > Ngày 31 tháng 12năm 2016(trình bày lại),numeric__col_1,numeric__Ngày 31 tháng 12năm 2016(dã được trình báytrước đây),numeric__Đơn vị tính: VND > Điều chỉnh,numeric__Đơn vị tính: VND > Ngày 31 tháng 12năm 2016(trình bày lại)
BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT,,,,
Chứng khoán kinh doanh,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Chứng khoán kinh doanh,Chứng khoán kinh doanh,(i),-,197.046.708.523,197.046.708.523,,,197046708523.0,197046708523.0
Đầu tư nằm giữ đến ngày đáo hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,(i),353.394.502.790,(197.046.708.523),156.347.794.267,,353394502790.0,-197046708523.0,156347794267.0
Phải thu ngắn hạn của khách hàng,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,(viii),1.235.953.581.919,(12.256.956.434),1.223.696.625.485,,1235953581919.0,-12256956434.0,1223696625485.0
Phải thu ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,244.595.334.365,10.000.000,244.605.334.365,,244595334365.0,10000000.0,244605334365.0
Hàng tồn kho,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Hàng tồn kho,Hàng tồn kho,(ii),1.546.458.431.143,58.861.845.710,1.605.320.276.853,,1546458431143.0,58861845710.0,1605320276853.0
Phải thu dài hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải thu dài hạn khác,Phải thu dài hạn khác,,441.000.000,(10.000.000),431.000.000,,441000000.0,-10000000.0,431000000.0
Nguyên giá tài sản cố định hữu hình,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,"(iii), (vi)",1.911.762.321.559,(65.920.894.485),1.845.841.427.074,,1911762321559.0,-65920894485.0,1845841427074.0
Giá trị khấu hao lũy kế tài sản cố định hữu hình,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Giá trị khấu hao lũy kế tài sản cố định hữu hình,Giá trị khấu hao lũy kế tài sản cố định hữu hình,(iii),(935.882.248.041),9.052.813.555,(926.829.434.486),,-935882248041.0,9052813555.0,-926829434486.0
Nguyên giá bất động sản đầu tư,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,(iii),-,135.324.654.546,135.324.654.546,,,135324654546.0,135324654546.0
Giá trị khấu hao lũy kế bất động sản đầu tư,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Giá trị khấu hao lũy kế bất động sản đầu tư,Giá trị khấu hao lũy kế bất động sản đầu tư,(iii),-,(9.052.813.555),(9.052.813.555),,,-9052813555.0,-9052813555.0
Lợi thể thương mại,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Lợi thể thương mại,Lợi thể thương mại,(vi),-,32.629.220.995,32.629.220.995,,,32629220995.0,32629220995.0
Tài sản thuế thu nhập hoãn lại,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,6.337.025.329,(660.216.395),5.676.808.934,,6337025329.0,-660216395.0,5676808934.0
Phải trả người bán ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(ii),559.236.044.059,58.861.845.710,618.097.889.769,,559236044059.0,58861845710.0,618097889769.0
Chi phí phải trả ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,(viii),49.531.866.288,(11.231.387.858),38.300.478.430,,49531866288.0,-11231387858.0,38300478430.0
Phải trả ngắn hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,321.691.299.837,2.724.431.424,324.415.731.261,,321691299837.0,2724431424.0,324415731261.0
Vay ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Vay ngắn hạn,Vay ngắn hạn,(iv),1.998.916.461.904,360.000.000.000,2.358.916.461.904,,1998916461904.0,360000000000.0,2358916461904.0
Dự phòng phải trả ngắn hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,(v),171.927.161.506,(16.952.256.283),154.974.905.223,,171927161506.0,-16952256283.0,154974905223.0
Phải trả dài hạn khác,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Phải trả dài hạn khác,Phải trả dài hạn khác,,102.812.274.095,(3.750.000.000),99.062.274.095,,102812274095.0,-3750000000.0,99062274095.0
Vay dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Vay dài hạn,Vay dài hạn,(iv),1.890.468.227.369,(360.000.000.000),1.530.468.227.369,,1890468227369.0,-360000000000.0,1530468227369.0
Thuế thu nhập hoãn lại phải trả,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(vi),660.216.395,13.220.535.617,13.880.752.012,,660216395.0,13220535617.0,13880752012.0
Dự phòng phải trả dài hạn,BẢNG CẦN ĐỐI KẾ TOÁN HỢP NHẤT > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(v),40.384.873.750,16.952.256.283,57.337.130.033,,40384873750.0,16952256283.0,57337130033.0
