row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),653.947.152.368,996.651.547.345,124.326.137.078,70.916.590.283,1.845.841.427.074,653947152368.0,996651547345.0,124326137078.0,70916590283.0,1845841427074.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,146.203.084.274,80.445.115.569,3.255.885.635,229.904.085.478,,146203084274.0,80445115569.0,3255885635.0,229904085478.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,254.555.201.082,-,-,-,254.555.201.082,254555201082.0,,,,254555201082.0
- Tăng do hợp nhất kinh doanh,Nguyên giá: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,1.312.797.593.288,846.486.764.003,692.971.568.047,6.335.978.237,2.858.591.903.575,1312797593288.0,846486764003.0,692971568047.0,6335978237.0,2858591903575.0
- Tăng/(giảm) do phân loại lại,Nguyên giá: > - Tăng/(giảm) do phân loại lại,- Tăng/(giảm) do phân loại lại,124.944.777,475.055.223,(600.000.000),-,-,124944777.0,475055223.0,-600000000.0,,
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(535.920.976),(7.720.821.036),(9.331.057.935),(491.436.843),(18.079.236.790),-535920976.0,-7720821036.0,-9331057935.0,-491436843.0,-18079236790.0
- Phân loại sang bất động sản đầu tư(Thuyết minn số 14),Nguyên giá: > - Phân loại sang bất động sản đầu tư(Thuyết minn số 14),- Phân loại sang bất động sản đầu tư(Thuyết minn số 14),(70.956.444.711),(7.544.826.815),-,(33.327.754.399),(111.829.025.925),-70956444711.0,-7544826815.0,,-33327754399.0,-111829025925.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,-,-,(2.996.923),(429.761),(3.426.684),,,-2996923.0,-429761.0,-3426684.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,2.149.932.525.828,1.974.550.802.994,887.808.765.836,46.688.833.152,5.058.980.927.810,2149932525828.0,1974550802994.0,887808765836.0,46688833152.0,5058980927810.0
