row_label_raw,row_label_full,col_0,Công ty Sotrans,Công ty Phú Thạnh Mỹ,Công ty K.I.P Việt Nam,Công ty Thibidi,Công ty Vihem,Đơn vị tính: VND Tổng cộng,numeric__Công ty Sotrans,numeric__Công ty Phú Thạnh Mỹ,numeric__Công ty K.I.P Việt Nam,numeric__Công ty Thibidi,numeric__Công ty Vihem,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),-,-,-,32.629.220.995,-,32.629.220.995,,,,32629220995.0,,32629220995.0
Tăng trong năm(Thuyết mình số 4),Nguyên giá: > Tăng trong năm(Thuyết mình số 4),Tăng trong năm(Thuyết mình số 4),667.422.005.234,70.494.847.878,5.942.330.107,-,25.224.721.413,769.083.904.632,667422005234.0,70494847878.0,5942330107.0,,25224721413.0,769083904632.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,667.422.005.234,70.494.847.878,5.942.330.107,32.629.220.995,25.224.721.413,801.713.125.627,667422005234.0,70494847878.0,5942330107.0,32629220995.0,25224721413.0,801713125627.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,-,-,,,,,,
Phân bổ trong năm,Số đầu năm > Phân bổ trong năm,Phân bổ trong năm,(50.056.650.393),(5.874.570.657),(346.635.923),(3.262.922.100),(1.261.236.070),(60.802.015.143),-50056650393.0,-5874570657.0,-346635923.0,-3262922100.0,-1261236070.0,-60802015143.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(50.056.650.393),(5.874.570.657),(346.635.923),(3.262.922.100),(1.261.236.070),(60.802.015.143),-50056650393.0,-5874570657.0,-346635923.0,-3262922100.0,-1261236070.0,-60802015143.0
Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,Giá trị cờ lại,,,,,,
Số đầu năm (Trình bày lại),Giá trị cờ lại > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),-,-,-,32.629.220.995,-,32.629.220.995,,,,32629220995.0,,32629220995.0
Số cuối năm,Giá trị cờ lại > Số cuối năm,Số cuối năm,617.365.354.841,64.620.277.221,5.595.694.184,29.366.298.895,23.963.485.343,740.911.110.484,617365354841.0,64620277221.0,5595694184.0,29366298895.0,23963485343.0,740911110484.0
