row_label_raw,row_label_full,Công ty Cổ phần Chứng khoán IB,Các nhân sự lãnh đạo là thành viên gia đình (kể từ ngày 5/7/2017),Trái phiếu,156.140.000.000,-,numeric__Các nhân sự lãnh đạo là thành viên gia đình (kể từ ngày 5/7/2017),numeric__Trái phiếu,numeric__156.140.000.000,numeric__-
,,,,,156.140.000.000,-,,,156140000000.0,
Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),Phải trả người bán ngắn hạn (Thuyết minh số 19.1),,,,
Công ty Dây đồng Việt Nam - CFT,Phải trả người bán ngắn hạn (Thuyết minh số 19.1) > Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,Mua hàng hóa,57.295.942.988,62.028.156.183,,,57295942988.0,62028156183.0
,,,,,57.295.942.988,62.028.156.183,,,57295942988.0,62028156183.0
Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),Phải trả khác (Thuyết minh số 23),,,,
Công ty TNHH Phát triển Bất động sản SORECO,Phải trả khác (Thuyết minh số 23) > Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,Công ty liên kết,Nhận ứng trước tiền hỗ trợ di đời,40.000.000.000,-,,,40000000000.0,
,,,,,40.000.000.000,-,,,40000000000.0,
