row_label_raw,row_label_full,Bên cho vay > Chi nhánh Công ty Cổ phầnChứng khoán Sài Gòn tại Hà Nội > Cán bộ công nhân viên Công tyCổ phần Chế tạo Máy điện ViệtNam - Hungari,Số cuối năm (VND) > 33.787.499.059 > 13.900.527.594,Kỳ hạn trả gốc và lãi > Kỳ hạn vay 3 tháng. Lãi vay trả hàng tháng. Khế ước cuối cùngđảo hạn ngày 15 tháng 3 năm2018 > Kỳ hạn vay từ 3 đến 12 tháng.Lãi trả cùng với gốc vay khi đáohan.,"Lãi suất (%/năm) > 11,7% > 4% - 7,5%",Hình thức đảm bảo > 2.000.000 cổ phiếu CAV thuộc sở hữu của Tổng Công ty được ký quỹ tại Chỉ nhánh Công ty Cổ phầnChứng khoán Sài Gòn tại Hà Nội > Tín chấp,numeric__Số cuối năm (VND) > 33.787.499.059 > 13.900.527.594,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn vay 3 tháng. Lãi vay trả hàng tháng. Khế ước cuối cùngđảo hạn ngày 15 tháng 3 năm2018 > Kỳ hạn vay từ 3 đến 12 tháng.Lãi trả cùng với gốc vay khi đáohan.,"numeric__Lãi suất (%/năm) > 11,7% > 4% - 7,5%",numeric__Hình thức đảm bảo > 2.000.000 cổ phiếu CAV thuộc sở hữu của Tổng Công ty được ký quỹ tại Chỉ nhánh Công ty Cổ phầnChứng khoán Sài Gòn tại Hà Nội > Tín chấp
Cán bộ công nhân viên Công tyCổ phần Chế tạo Điện cơ Hà Nội,Cán bộ công nhân viên Công tyCổ phần Chế tạo Điện cơ Hà Nội,Cán bộ công nhân viên Công tyCổ phần Chế tạo Điện cơ Hà Nội,10.920.533.000,Thanh toán khi có yêu cầu,"5,5%",Tín chấp,10920533000.0,,0.055,
Công đoàn Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công đoàn Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công đoàn Công ty Cổ phần Chế tạo Điện cơ Hà Nội,1.592.550.000,Thanh toán khi có yêu cầu,"5,5% - 6%",Tín chấp,1592550000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,60.201.109.653,,,,60201109653.0,,,
