row_label_raw,row_label_full,Bên liên quan > Công ty Đầy đồng Việt Nam - CFT,Mối quan hệ > Công ty liên kết,"Nội dung nghiệp vụ > Mua hàng hóaCổ tức, lợi nhuận được chiaDoanh thu cung cấp dịch vụ",Đơn vị tính: VND > Năm nay > 588.079.657.31410.244.480.513495.709.050,Đơn vị tính: VND > Năm trước > 544.438.093.12324.378.127.500487.090.869,numeric__Mối quan hệ > Công ty liên kết,"numeric__Nội dung nghiệp vụ > Mua hàng hóaCổ tức, lợi nhuận được chiaDoanh thu cung cấp dịch vụ",numeric__Đơn vị tính: VND > Năm nay > 588.079.657.31410.244.480.513495.709.050,numeric__Đơn vị tính: VND > Năm trước > 544.438.093.12324.378.127.500487.090.869
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty liên kết,"Cổ tức, lợi nhuận được chia",47.250.000.000,61.600.000.000,,,47250000000.0,61600000000.0
Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty liên kết,Doanh thu cung cấp dịch vụ,43.409.814.187,-,,,43409814187.0,
Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Cùng thành viên HĐQT,Cho vayDoanh thu bán hàng hóa,100.000.000.00017.332.761.908,-,,,1.0000000000017333e+22,
Công ty Cổ phần Chứng khoán IB (*),Công ty Cổ phần Chứng khoán IB (*),Công ty Cổ phần Chứng khoán IB (*),Các nhận sự lãnh đạo là thành viên gia đình (kể từ ngày 5/7/2017),Tất toán trái phiếuLãi trái phiếu đã nhận,200.000.000.00035.705.555.623,-,,,2.0000000000035706e+22,
