row_label_raw,row_label_full,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_1,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_2,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_3,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_4,Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_5,numeric__Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_1,numeric__Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_2,numeric__Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_3,numeric__Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_4,numeric__Chi tiết các khoản vay dài hạn từ ngân hàng được trình bày như sau (tiếp theo):_5
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm(VND),Nguyên tệ(USD),Kỳ hạn trả gốc và lãi,Lãi suất(%/năm),Hình thức đảm bảo,,,,,
Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,92.799.837.689,-,Gốc vay đảo hạn lần cuối ngày 2 tháng 1 năm 2023. Lãi vay trả hàng quý,7% - 9%,"Công trình nhà xưởng gắn liền với đất, máy móc thiết bị hình thành từ khoản vay trong tương lai và máy xoắn Drum Twister thuộc dự án ""Nhà máy sản xuất dây cấp điện"" của Công ty Cổ phần Dây cấp Điện Việt Nam",92799837689.0,,,,
Ngân hàng TNHH CTCB – Chi nhánh Thành phố Hồ Chí Minh,Bên cho vay > Ngân hàng TNHH CTCB – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH CTCB – Chi nhánh Thành phố Hồ Chí Minh,12.000.000.000,-,Gốc vay đảo hạn lần cuối ngày 15 tháng 3 năm 2019. Lãi vay trả 6 tháng một lần,"6,65%","Giấy chứng nhận quyền sử dụng đất, tài sản gắn liền với đất và hàng hóa thuộc sở hữu của Công ty Cổ phần Dây cấp Điện Việt Nam",12000000000.0,,,0.0665,
Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ thông thường - Khoản vay OCR),Bên cho vay > Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ thông thường - Khoản vay OCR),Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ thông thường - Khoản vay OCR),50.375.337.007,2.208.166,Gốc vay đảo hạn lần cuối ngày 15 tháng 11 năm 2034. Lãi vay trả hàng tháng,"1,5%",Một số phương tiện vận tải và Hợp đồng tiền gửi với giá trị 50 tỷ VND thuộc sở hữu của Tổng Công ty Cổ phần Đường sông Miền Nam,50375337007.0,2208166.0,,0.015,
Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ đặc biệt - Khoản vay ADF),Bên cho vay > Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ đặc biệt - Khoản vay ADF),Ngân hàng Phát triển Việt Nam – Sở Giao dịch II (Hiệp định vay các nghiệp vụ đặc biệt - Khoản vay ADF),6.643.198.842,287.305,Gốc vay đảo hạn lần cuối ngày 15 tháng 11 năm 2041. Lãi vay trả hàng tháng,1%,,6643198842.0,287305.0,,0.01,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,1.145.433.196.538,,,,,1145433196538.0,,,,
Trong đó:Vay dài hạn đến hạn trả,Bên cho vay > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,33.478.636.726,,,,,33478636726.0,,,,
Vay dài hạn,Bên cho vay > Vay dài hạn,Vay dài hạn,1.111.954.559.812,,,,,1111954559812.0,,,,
