row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,7.603.987.514.057,5.568.228.552.992,,,7603987514057.0,5568228552992.0
310,310,310,I. Nợ ngắn hạn,,4.764.444.793.235,3.780.162.929.723,,,4764444793235.0,3780162929723.0
311,311,311,1. Phải trả người bán ngắn hạn,19.1,850.417.170.698,618.097.889.769,,191.0,850417170698.0,618097889769.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19.2,183.618.552.087,38.263.732.896,,192.0,183618552087.0,38263732896.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,76.935.295.527,57.562.288.051,,20.0,76935295527.0,57562288051.0
314,314,314,4. Phải trả người lao động,,162.643.056.568,124.492.002.514,,,162643056568.0,124492002514.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,46.121.959.412,38.300.478.430,,21.0,46121959412.0,38300478430.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,22,40.748.892.189,20.332.886.290,,22.0,40748892189.0,20332886290.0
319,319,319,7. Phải trả ngắn hạn khác,23,495.219.073.115,324.415.731.261,,23.0,495219073115.0,324415731261.0
320,320,320,8. Vay và nợ ngắn hạn,24,2.746.317.989.552,2.358.916.461.904,,24.0,2746317989552.0,2358916461904.0
321,321,321,9. Dự phòng phải trả ngắn hạn,25,93.132.353.140,154.974.905.223,,25.0,93132353140.0,154974905223.0
322,322,322,10. Quỹ khen thưởng phúc lợi,26,69.290.450.947,44.806.553.385,,26.0,69290450947.0,44806553385.0
330,330,330,II. Nợ dài hạn,,2.839.542.720.822,1.788.065.623.269,,,2839542720822.0,1788065623269.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,22,45.835.022.150,46.945.637.558,,22.0,45835022150.0,46945637558.0
337,337,337,2. Phải trả dài hạn khác,23,119.631.176.007,99.062.274.095,,23.0,119631176007.0,99062274095.0
338,338,338,3. Vay và nợ dài hạn,24,2.533.868.797.654,1.530.468.227.369,,24.0,2533868797654.0,1530468227369.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,34.3,47.359.952.697,13.880.752.012,,343.0,47359952697.0,13880752012.0
342,342,342,5. Dự phòng phải trả dài hạn,25,61.136.827.197,57.337.130.033,,25.0,61136827197.0,57337130033.0
343,343,343,6. Quỹ phát triển khoa học và công nghệ,,31.710.945.117,40.371.602.202,,,31710945117.0,40371602202.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,6.305.687.738.376,3.364.894.967.031,,,6305687738376.0,3364894967031.0
410,410,410,I. Vốn chủ sở hữu,27,6.295.473.043.703,3.360.921.478.909,,27.0,6295473043703.0,3360921478909.0
411,411,411,1. Vốn cổ phần đã phát hành,,2.668.000.000.000,1.550.000.000.000,,,2668000000000.0,1550000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,2.668.000.000.000,1.550.000.000.000,,,2668000000000.0,1550000000000.0
412,412,412,2. Thặng dư vốn cổ phần,,622.337.724.760,66.378.000.000,,,622337724760.0,66378000000.0
414,414,414,3. Vốn khác của chủ sở hữu,,77.388.963.577,77.388.963.577,,,77388963577.0,77388963577.0
415,415,415,4. Cổ phiếu quỹ,,-,(5.026.115.259),,,,-5026115259.0
417,417,417,5. Chênh lệch tỷ giá hối đoái,,48.866.128,83.604.392,,,48866128.0,83604392.0
418,418,418,6. Quỹ đầu tư phát triển,,77.023.242.245,208.668.128.206,,,77023242245.0,208668128206.0
421,421,421,7. Lợi nhuận sau thuế chưa phân phối,,934.863.540.700,749.075.810.262,,,934863540700.0,749075810262.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,,148.693.053.445,215.405.554.558,,,148693053445.0,215405554558.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,786.170.487.255,533.670.255.704,,,786170487255.0,533670255704.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,,1.915.810.706.293,714.353.087.731,,,1915810706293.0,714353087731.0
430,430,430,II. Nguồn kinh phí và quỹ khác,,10.214.694.673,3.973.488.122,,,10214694673.0,3973488122.0
431,431,431,1. Nguồn kinh phí,,(52.023.000),(25.923.000),,,-52023000.0,-25923000.0
432,432,432,2. Nguồn kinh phí đã hình thành TSCĐ,,10.266.717.673,3.999.411.122,,,10266717673.0,3999411122.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,13.909.675.252.433,8.933.123.520.023,,,13909675252433.0,8933123520023.0
