row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị tạm tính ghi nhận tại ngày mua,numeric__Đơn vị tính: VND > Giá trị tạm tính ghi nhận tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,468.963.768.204,468963768204.0
Các khoản đầu tư tài chính ngắn hạn,Tài sản > Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,40.340.032.081,40340032081.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,298.175.317.905,298175317905.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,35.904.463.030,35904463030.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,513.715.819.913,513715819913.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,131.638.500.464,131638500464.0
Đầu tư vào công ty liên kết,Tài sản > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,495.850.002.415,495850002415.0
Đầu tư vào đơn vị khác,Tài sản > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,321.813.266.614,321813266614.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,115.669.919.275,115669919275.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,4.665.620.636,4665620636.0
,,,2.426.736.710.537,2426736710537.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,93.203.487.028,93203487028.0
Vay và nợ,Nợ phải trả > Vay và nợ,Vay và nợ,694.674.606.914,694674606914.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,258.229.012.854,258229012854.0
Thuế hoãn lại phải trả (phát sinh do điều chỉnh giá trị hợp lý),Nợ phải trả > Thuế hoãn lại phải trả (phát sinh do điều chỉnh giá trị hợp lý),Thuế hoãn lại phải trả (phát sinh do điều chỉnh giá trị hợp lý),36.600.178.509,36600178509.0
,,,1.082.707.285.305,1082707285305.0
Tổng tài sản thuần theo giá trị hợp lý [a],Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý [a],Tổng tài sản thuần theo giá trị hợp lý [a],1.344.029.425.232,1344029425232.0
Cổ đông không kiểm soát [b],Nợ phải trả > Cổ đông không kiểm soát [b],Cổ đông không kiểm soát [b],851.474.434.731,851474434731.0
Giá trị của khoản đầu tư đã mua trước đó [c],Nợ phải trả > Giá trị của khoản đầu tư đã mua trước đó [c],Giá trị của khoản đầu tư đã mua trước đó [c],579.799.558.000,579799558000.0
Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 18) [d],Nợ phải trả > Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 18) [d],Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 18) [d],667.422.005.234,667422005234.0
Tổng giá phí hợp nhất kinh doanh đã thanh toán[e] = [a - b - c + d],Nợ phải trả > Tổng giá phí hợp nhất kinh doanh đã thanh toán[e] = [a - b - c + d],Tổng giá phí hợp nhất kinh doanh đã thanh toán[e] = [a - b - c + d],580.177.437.735,580177437735.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,468.963.768.204,468963768204.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(580.177.437.735),-580177437735.0
Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,Tổng tiền thuần đã thanh toán cho nghiệp vụ mua,(111.213.669.531),-111213669531.0
