row_label_raw,row_label_full,Công ty Cổ phần kho vận Miền Nam > Công ty Cổ phần K.I.P Việt Nam,Số đầu năm > 554.292.836.363 > 49.506.970.116,Chuyển thành công ty con > (562.740.617.708) > (45.693.567.882),Thanh lý trong năm > -,Tăng do hợp nhất kinh doanh (*) > -,Phần lợi nhuận/(lỗ) từ công ty liên kết > 8.447.781.345 > 677.287.766,Cổ tức được chia trong năm > - > (4.490.690.000),Đơn vị tính: VND > -,numeric__Số đầu năm > 554.292.836.363 > 49.506.970.116,numeric__Chuyển thành công ty con > (562.740.617.708) > (45.693.567.882),numeric__Thanh lý trong năm > -,numeric__Tăng do hợp nhất kinh doanh (*) > -,numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết > 8.447.781.345 > 677.287.766,numeric__Cổ tức được chia trong năm > - > (4.490.690.000),numeric__Đơn vị tính: VND > -
Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,Công ty Cổ phần Sản xuất và Thương mại EMIC,7.818.599.076,-,(7.818.599.076),-,-,-,-,7818599076.0,,-7818599076.0,,,,
Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari,985.827.730,(3.055.040.550),-,-,2.069.212.820,-,-,985827730.0,-3055040550.0,,,2069212820.0,,
Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,-,(294.221.335.650),-,288.504.800.000,5.716.535.650,-,-,,-294221335650.0,,288504800000.0,5716535650.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.000.267.658.228,(905.710.561.790),(7.818.599.076),1.099.484.129.764,67.733.118.040,(45.970.991.578),1.207.984.753.588,1000267658228.0,-905710561790.0,-7818599076.0,1099484129764.0,67733118040.0,-45970991578.0,1207984753588.0
