row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận ký quỹ, ký cược ngắn hạn (i)","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn (i)","Nhận ký quỹ, ký cược ngắn hạn (i)",293.570.240.296,282.574.926.965,293570240296.0,282574926965.0
Phải trả liên quan đến dịch vụ xuất khẩu lao động,Ngắn hạn > Phải trả liên quan đến dịch vụ xuất khẩu lao động,Phải trả liên quan đến dịch vụ xuất khẩu lao động,29.716.899.836,-,29716899836.0,
"Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời (ii)","Ngắn hạn > Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời (ii)","Nhận tạm ứng kinh phí bởi thường, hỗ trợ di đời (ii)",40.000.000.000,-,40000000000.0,
Nhận tạm ứng chuyển nhượng các khoản đầu tư (iii),Ngắn hạn > Nhận tạm ứng chuyển nhượng các khoản đầu tư (iii),Nhận tạm ứng chuyển nhượng các khoản đầu tư (iii),39.940.000.000,-,39940000000.0,
Nhận đặt cọc thực hiện dự án (iv),Ngắn hạn > Nhận đặt cọc thực hiện dự án (iv),Nhận đặt cọc thực hiện dự án (iv),20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Cổ tức phải trả,Ngắn hạn > Cổ tức phải trả,Cổ tức phải trả,15.154.549.978,9.863.439.719,15154549978.0,9863439719.0
"Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm thất nghiệp","Ngắn hạn > Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm thất nghiệp","Kinh phí công đoàn, bảo hiểm xã hội, bảo hiểm thất nghiệp",2.636.372.707,3.225.624.594,2636372707.0,3225624594.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",54.201.010.298,8.751.739.983,54201010298.0,8751739983.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,495.219.073.115,324.415.731.261,495219073115.0,324415731261.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chứng quyền đặt mua (v),Dài hạn > Chứng quyền đặt mua (v),Chứng quyền đặt mua (v),90.000.000.000,90.000.000.000,90000000000.0,90000000000.0
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",29.050.625.007,9.062.274.095,29050625007.0,9062274095.0
"Các khoản phải trả, phải nộp dài hạn khác","Dài hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",580.551.000,-,580551000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,119.631.176.007,99.062.274.095,119631176007.0,99062274095.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên liên quan (Thuyết minh số 35),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 35),Phải trả các bên liên quan (Thuyết minh số 35),40.000.000.000,-,40000000000.0,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,574.850.249.122,423.478.005.356,574850249122.0,423478005356.0
