row_label_raw,row_label_full,Bà Nguyễn Thị Thanh Yên,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Bà Phạm Thị Minh Cúc,Bà Phạm Thị Minh Cúc,Bà Phạm Thị Minh Cúc,Thành viên,Bổ nhiệm ngày 25 tháng 4 năm 2017,,
Bà Phạm Thị Mỹ Hà,Bà Phạm Thị Mỹ Hà,Bà Phạm Thị Mỹ Hà,Thành viên,Bổ nhiệm ngày 25 tháng 4 năm 2017,,
Ông Phạm Thế Ngọc,Ông Phạm Thế Ngọc,Ông Phạm Thế Ngọc,Thành viên,Miễn nhiệm ngày 4 tháng 4 năm 2017,,
