row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình (bao gồm phân bổ lợi thế thương mại),,1.658.244.054.519,771.577.657.015,,,1658244054519.0,771577657015.0
02,02,02,Tổng lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình (bao gồm phân bổ lợi thế thương mại),,329.863.959.350,104.190.343.185,,,329863959350.0,104190343185.0
03,03,03,Các khoản dự phòng Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,,5.971.972.873,6.922.799.298,,,5971972873.0,6922799298.0
04,04,04,Các khoản dự phòng Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,,2.279.804.188,(1.399.338.600),,,2279804188.0,-1399338600.0
05,05,05,Lãi từ hoạt động đầu tư,,(776.698.529.839),(266.527.345.836),,,-776698529839.0,-266527345836.0
06,06,06,Chi phí lãi vay,30,367.135.076.972,67.726.821.032,,30.0,367135076972.0,67726821032.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.586.796.338.063,682.490.936.094,,,1586796338063.0,682490936094.0
09,09,09,Giảm/(tăng) các khoản phải thu (Tăng)/giảm hàng tồn kho,,320.297.235.539,(77.850.159.753),,,320297235539.0,-77850159753.0
10,10,10,Giảm/(tăng) các khoản phải thu (Tăng)/giảm hàng tồn kho,,(180.152.992.826),345.923.720.112,,,-180152992826.0,345923720112.0
11,11,11,Giảm các khoản phải trả,,(118.205.565.418),(494.115.852.241),,,-118205565418.0,-494115852241.0
12,12,12,Tăng chi phí trả trước,,(125.150.325.840),(47.417.193.163),,,-125150325840.0,-47417193163.0
13,13,13,Tăng chứng khoán kinh doanh,,(709.958.990.922),(197.046.708.523),,,-709958990922.0,-197046708523.0
14,14,14,Tiền lãi vay đã trả,,(380.604.353.835),(55.722.805.787),,,-380604353835.0,-55722805787.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,20,(333.737.726.193),(112.938.901.052),,20.0,-333737726193.0,-112938901052.0
16,16,16,Tiền thu khác từ hoạt động kinh doanh,,9.950.087.949,11.795.857.545,,,9950087949.0,11795857545.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(99.747.083.044),(63.981.574.353),,,-99747083044.0,-63981574353.0
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(30.513.376.527),(8.862.681.121),,,-30513376527.0,-8862681121.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(321.461.088.860),(379.654.472.396),,,-321461088860.0,-379654472396.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,21.847.792.178,384.745.165,,,21847792178.0,384745165.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(1.887.969.401.933),(173.300.473.823),,,-1887969401933.0,-173300473823.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,515.1/9.880.069,575.561.799.556,,,,575561799556.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(1.855.039.412.447),(755.196.492.305),,,-1855039412447.0,-755196492305.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,860.580.707.486,42.889.376.109,,,860580707486.0,42889376109.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,206.924.162.788,189.632.396.012,,,206924162788.0,189632396012.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(2.459.937.360.719),(499.683.121.682),,,-2459937360719.0,-499683121682.0
