row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnChế tạo Bom Hải Dương > Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm VND > 100.000.000.000 > Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Kì hạn > 3 tháng > Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),"Lãi suất (%/năm) > 10,5%/năm > Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)",Tài sản đảm bảo > Tín chấp > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm VND > 100.000.000.000 > Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Kì hạn > 3 tháng > Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),"numeric__Lãi suất (%/năm) > 10,5%/năm > Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)",numeric__Tài sản đảm bảo > Tín chấp > Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty Cổ phần PhúcHưng Tín,Công ty Cổ phần PhúcHưng Tín,Công ty Cổ phần PhúcHưng Tín,Công ty liên kết,Ứng trước chi phí xây dựng,771.185.140,-,,,771185140.0,
,,,,,771.185.140,-,,,771185140.0,
