row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Dự phòng
Phải thu tiền đặt cọcmua cổ phần (i),Phải thu tiền đặt cọcmua cổ phần (i),Phải thu tiền đặt cọcmua cổ phần (i),947.258.640.000,-,213.286.200.000,-,947258640000.0,,213286200000.0,
Phải thu cổ tức,Phải thu cổ tức,Phải thu cổ tức,2.764.855.000,-,-,-,2764855000.0,,,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,29.481.714.082,(1.430.246.060),11.466.484.760,-,29481714082.0,-1430246060.0,11466484760.0,
Phải thu tiền lãi từ hoạtđộng đầu tư,Phải thu tiền lãi từ hoạtđộng đầu tư,Phải thu tiền lãi từ hoạtđộng đầu tư,52.136.498.968,(67.500.000),5.800.265.279,-,52136498968.0,-67500000.0,5800265279.0,
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",37.256.604.996,-,5.877.244.574,-,37256604996.0,,5877244574.0,
Phải thu khác,Phải thu khác,Phải thu khác,55.629.208.539,(3.123.214.730),8.175.139.752,-,55629208539.0,-3123214730.0,8175139752.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.124.527.521.585,(4.620.960.790),244.605.334.365,-,1124527521585.0,-4620960790.0,244605334365.0,
