row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND > Số đầu năm(Trình bày lại),Đơn vị tính: VND > Số đầu năm(Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đangđi đường,Hàng mua đangđi đường,Hàng mua đangđi đường,22.770.837.372,-,64.971.150.980,-,22770837372.0,,64971150980.0,
"Nguyên liệu, vạtlieụ và phụ tùngthay thế","Nguyên liệu, vạtlieụ và phụ tùngthay thế","Nguyên liệu, vạtlieụ và phụ tùngthay thế",663.998.822.591,(2.456.391.240),473.637.539.103,-,663998822591.0,-2456391240.0,473637539103.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.269.010.086,(650.000),1.569.486.230,-,4269010086.0,-650000.0,1569486230.0,
Chi phí sản xuấtkinh doanh đởdang,Chi phí sản xuấtkinh doanh đởdang,Chi phí sản xuấtkinh doanh đởdang,241.124.488.671,(14.848.918),287.851.646.496,-,241124488671.0,-14848918.0,287851646496.0,
Thành phẩm,Thành phẩm,Thành phẩm,932.874.212.579,(12.195.136.725),773.459.768.508,(5.999.727.151),932874212579.0,-12195136725.0,773459768508.0,-5999727151.0
Hàng hoá,Hàng hoá,Hàng hoá,3.296.838.753,(3.706.899),3.830.685.536,-,3296838753.0,-3706899.0,3830685536.0,
Hàng gửi bán,Hàng gửi bán,Hàng gửi bán,1.198.866.633,-,-,-,1198866633.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.869.533.076.685,(14.670.733.782),1.605.320.276.853,(5.999.727.151),1869533076685.0,-14670733782.0,1605320276853.0,-5999727151.0
