row_label_raw,row_label_full,Nội dung,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
Công ty Cổ phần GTNFoods,Công ty Cổ phần GTNFoods,Công ty Cổ phần GTNFoods,73.429.980.000,76.140.000.000,-,-,-,-,73429980000.0,76140000000.0,,,,
Công ty Cổ phần Cao su Sao Vàng,Công ty Cổ phần Cao su Sao Vàng,Công ty Cổ phần Cao su Sao Vàng,27.560.799.998,15.291.500.000,(12.269.299.998),-,-,-,27560799998.0,15291500000.0,-12269299998.0,,,
Công ty Cổ phần Thiết bị Điện Đông Anh,Công ty Cổ phần Thiết bị Điện Đông Anh,Công ty Cổ phần Thiết bị Điện Đông Anh,4.870.895.400,4.599.000.000,(271.895.400),-,-,-,4870895400.0,4599000000.0,-271895400.0,,,
Các cổ phiếu khác,Các cổ phiếu khác,Các cổ phiếu khác,127.872.558,6.548.320,(121.324.238),-,-,-,127872558.0,6548320.0,-121324238.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,105.989.547.956,96.037.048.320,(12.662.519.636),-,-,-,105989547956.0,96037048320.0,-12662519636.0,,,
