row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng(cổ phiếu),Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị ghi số (cổ phiếu),Số đầu năm > Số lượng(cổ phiếu),Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Số lượng(cổ phiếu),numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị ghi số (cổ phiếu),numeric__Số đầu năm > Số lượng(cổ phiếu),numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị ghi số
Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,Đầu tư vào cổ phiếu,,,,,,,,
Công ty Cổ phần Đầu tư Nước sạch Sông Đà,Đầu tư vào cổ phiếu > Công ty Cổ phần Đầu tư Nước sạch Sông Đà,Công ty Cổ phần Đầu tư Nước sạch Sông Đà,2.340.000,89.728.310.880,(1.112.510.880),88.615.800.000,-,-,-,-,2340000.0,89728310880.0,-1112510880.0,88615800000.0,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Đầu tư vào cổ phiếu > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,50.541,2.178.670.000,-,2.178.670.000,50.541,2.178.670.000,(386.991.550),1.791.678.450,50541.0,2178670000.0,,2178670000.0,50541.0,2178670000.0,-386991550.0,1791678450.0
Các cổ phiếu khác,Đầu tư vào cổ phiếu > Các cổ phiếu khác,Các cổ phiếu khác,,3.510.328.951,(110.422.896),3.399.906.055,,1.317.011.301,-,1.317.011.301,,3510328951.0,-110422896.0,3399906055.0,,1317011301.0,,1317011301.0
TỔNG CỘNG,Đầu tư vào cổ phiếu > TỔNG CỘNG,TỔNG CỘNG,,95.417.309.831,(1.222.933.776),94.194.376.055,,3.495.681.301,(386.991.550),3.108.689.751,,95417309831.0,-1222933776.0,94194376055.0,,3495681301.0,-386991550.0,3108689751.0
