row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ khách hàng,Ngắn hạn > Phải thu từ khách hàng,Phải thu từ khách hàng,1.826.893.952.505,1.223.696.625.485,1826893952505.0,1223696625485.0
- Công ty Cổ phần Tập đoàn Đức Tường,Ngắn hạn > - Công ty Cổ phần Tập đoàn Đức Tường,- Công ty Cổ phần Tập đoàn Đức Tường,209.836.034.793,88.333.399.058,209836034793.0,88333399058.0
- Công ty Cổ phần Sản xuất Kinh doanh Thiết bị Điện TTC,Ngắn hạn > - Công ty Cổ phần Sản xuất Kinh doanh Thiết bị Điện TTC,- Công ty Cổ phần Sản xuất Kinh doanh Thiết bị Điện TTC,166.204.095.922,-,166204095922.0,
- Tổng Công ty Điện lực Miền Nam,Ngắn hạn > - Tổng Công ty Điện lực Miền Nam,- Tổng Công ty Điện lực Miền Nam,129.309.275.618,48.006.417.479,129309275618.0,48006417479.0
- Công ty Cổ phần Kim loại màu Ngọc Sơn,Ngắn hạn > - Công ty Cổ phần Kim loại màu Ngọc Sơn,- Công ty Cổ phần Kim loại màu Ngọc Sơn,106.348.046.487,-,106348046487.0,
- Công ty TNHH Thiết bị Điện Quý Dần,Ngắn hạn > - Công ty TNHH Thiết bị Điện Quý Dần,- Công ty TNHH Thiết bị Điện Quý Dần,86.724.462.530,95.321.690.364,86724462530.0,95321690364.0
- Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,Ngắn hạn > - Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,- Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,76.003.768.972,49.378.466.578,76003768972.0,49378466578.0
- Tập đoàn Điện lực Việt Nam,Ngắn hạn > - Tập đoàn Điện lực Việt Nam,- Tập đoàn Điện lực Việt Nam,68.178.399.743,-,68178399743.0,
- Các khoản phải thu khách hàng khác,Ngắn hạn > - Các khoản phải thu khách hàng khác,- Các khoản phải thu khách hàng khác,984.289.868.440,942.656.652.006,984289868440.0,942656652006.0
Phải thu từ các bên liên quan(Thuyết minh số 35),Ngắn hạn > Phải thu từ các bên liên quan(Thuyết minh số 35),Phải thu từ các bên liên quan(Thuyết minh số 35),33.777.491.140,-,33777491140.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.860.671.443.645,1.223.696.625.485,1860671443645.0,1223696625485.0
Dự phòng phải thu ngắn hạn khó đòi,Ngắn hạn > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(223.861.019.844),(32.267.650.971),-223861019844.0,-32267650971.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ khách hàng,Dài hạn > Phải thu từ khách hàng,Phải thu từ khách hàng,75.339.914.100,-,75339914100.0,
- Công ty Điện lực Hưng Yên,Dài hạn > - Công ty Điện lực Hưng Yên,- Công ty Điện lực Hưng Yên,11.493.682.200,-,11493682200.0,
- Công ty Điện lực Vĩnh Phúc,Dài hạn > - Công ty Điện lực Vĩnh Phúc,- Công ty Điện lực Vĩnh Phúc,10.712.897.800,-,10712897800.0,
- Công ty Điện lực Thanh Hóa,Dài hạn > - Công ty Điện lực Thanh Hóa,- Công ty Điện lực Thanh Hóa,7.479.065.000,-,7479065000.0,
- Công ty Điện lực Hà Nam,Dài hạn > - Công ty Điện lực Hà Nam,- Công ty Điện lực Hà Nam,6.981.076.000,-,6981076000.0,
- Các khoản phải thu khách hàng khác,Dài hạn > - Các khoản phải thu khách hàng khác,- Các khoản phải thu khách hàng khác,38.673.193.100,-,38673193100.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,75.339.914.100,-,75339914100.0,
