row_label_raw,row_label_full,col_0,Số đầu năm,Chuyển thành công ty con,Thanh lý trong năm,Tăng do hợp nhất kinh doanh (*),Phần lợi nhuận/(lỗ) từ công ty liên kết,Cổ tức được chia trong năm,Đơn vị tính: VND Số cuối năm,numeric__Số đầu năm,numeric__Chuyển thành công ty con,numeric__Thanh lý trong năm,numeric__Tăng do hợp nhất kinh doanh (*),numeric__Phần lợi nhuận/(lỗ) từ công ty liên kết,numeric__Cổ tức được chia trong năm,numeric__Đơn vị tính: VND Số cuối năm
Công ty Liên doanh Phát triển Tiếp vận Số 1,Công ty Liên doanh Phát triển Tiếp vận Số 1,Công ty Liên doanh Phát triển Tiếp vận Số 1,-,-,-,369.231.459.053,7.005.268.058,-,376.236.727.111,,,,369231459053.0,7005268058.0,,376236727111.0
Công ty TNHH S.A.S – CTAMAD,Công ty TNHH S.A.S – CTAMAD,Công ty TNHH S.A.S – CTAMAD,279.388.313.061,-,-,-,32.338.459.243,(31.235.821.065),280.490.951.239,279388313061.0,,,,32338459243.0,-31235821065.0,280490951239.0
Công ty TNHH SCI Nghệ An,Công ty TNHH SCI Nghệ An,Công ty TNHH SCI Nghệ An,-,-,-,156.065.000.000,-,-,156.065.000.000,,,,156065000000.0,,,156065000000.0
Công ty Cổ phần Nhựa Hà Nội,Công ty Cổ phần Nhựa Hà Nội,Công ty Cổ phần Nhựa Hà Nội,-,-,-,155.560.992.000,-,-,155.560.992.000,,,,155560992000.0,,,155560992000.0
Công ty Dây đồng Việt Nam – CFT,Công ty Dây đồng Việt Nam – CFT,Công ty Dây đồng Việt Nam – CFT,108.275.111.882,-,-,-,12.324.984.426,(10.244.480.513),110.355.615.795,108275111882.0,,,,12324984426.0,-10244480513.0,110355615795.0
Công ty Cổ phần MHC,Công ty Cổ phần MHC,Công ty Cổ phần MHC,-,-,-,103.209.172.207,(625.242.058),-,102.583.930.149,,,,103209172207.0,-625242058.0,,102583930149.0
Công ty Cổ phần Phát triển Bất động sản The Pier,Công ty Cổ phần Phát triển Bất động sản The Pier,Công ty Cổ phần Phát triển Bất động sản The Pier,-,-,-,9.981.382.983,(4.098.043),-,9.977.284.940,,,,9981382983.0,-4098043.0,,9977284940.0
Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,Công ty TNHH Phát triển Bất động sản SORECO,-,-,-,9.956.735.704,(6.135.915),-,9.950.599.789,,,,9956735704.0,-6135915.0,,9950599789.0
Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,Công ty Cổ phần Dịch vụ Tổng hợp Đường thủy Miền Nam,-,-,-,3.167.377.306,(462.103),-,3.166.915.203,,,,3167377306.0,-462103.0,,3166915203.0
Công ty Cổ phần Phúc Hung Tín,Công ty Cổ phần Phúc Hung Tín,Công ty Cổ phần Phúc Hung Tín,-,-,-,1.463.335.348,7.723.460,-,1.471.058.808,,,,1463335348.0,7723460.0,,1471058808.0
Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 2,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 2,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 2,-,-,-,1.020.000.000,6.385.012,-,1.026.385.012,,,,1020000000.0,6385012.0,,1026385012.0
Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 1,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 1,Công ty Cổ phần Chế tạo Máy Điện Việt Nam – Hungari 1,-,-,-,1.020.000.000,79.293.542,-,1.099.293.542,,,,1020000000.0,79293542.0,,1099293542.0
Công ty TNHH Lô-Gi-Stic Gefco – Sotrans,Công ty TNHH Lô-Gi-Stic Gefco – Sotrans,Công ty TNHH Lô-Gi-Stic Gefco – Sotrans,-,-,-,303.875.163,(303.875.163),-,-,,,,303875163.0,-303875163.0,,
