row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năng trả nợ
Phải trả người bán,Phải trả người bán,Phải trả người bán,793.121.227.710,793.121.227.710,556.069.733.586,556.069.733.586,793121227710.0,793121227710.0,556069733586.0,556069733586.0
- LS Nikko Cooper Inc,- LS Nikko Cooper Inc,- LS Nikko Cooper Inc,123.229.240.206,123.229.240.206,240.900.940.245,240.900.940.245,123229240206.0,123229240206.0,240900940245.0,240900940245.0
"- Glencore International AG Co., Ltd","- Glencore International AG Co., Ltd","- Glencore International AG Co., Ltd",78.055.354.562,78.055.354.562,-,-,78055354562.0,78055354562.0,,
- Tổng Công ty Thủy lợi 4,- Tổng Công ty Thủy lợi 4,- Tổng Công ty Thủy lợi 4,39.050.152.061,39.050.152.061,-,-,39050152061.0,39050152061.0,,
- Công ty Cổ phần Ngô Han,- Công ty Cổ phần Ngô Han,- Công ty Cổ phần Ngô Han,35.420.000.000,35.420.000.000,-,-,35420000000.0,35420000000.0,,
- Phải trả đối tượng khác,- Phải trả đối tượng khác,- Phải trả đối tượng khác,517.366.480.881,517.366.480.881,315.168.793.341,315.168.793.341,517366480881.0,517366480881.0,315168793341.0,315168793341.0
Phải trả cho các bên liên quan(Thuyết minh số 35),Phải trả cho các bên liên quan(Thuyết minh số 35),Phải trả cho các bên liên quan(Thuyết minh số 35),57.295.942.988,57.295.942.988,62.028.156.183,62.028.156.183,57295942988.0,57295942988.0,62028156183.0,62028156183.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,850.417.170.698,850.417.170.698,618.097.889.769,618.097.889.769,850417170698.0,850417170698.0,618097889769.0,618097889769.0
