row_label_raw,row_label_full,"Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Bên liên quan > Chứng khoán kinh doanh (Thuyết minh số 6.1) > Công ty Cổ phần Chứng khoán IB","Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Mối quan hệ > Chứng khoán kinh doanh (Thuyết minh số 6.1) > Các nhân sự lãnh đạo là thành viên gia đình (kề từ ngày 5/7/2017)","Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Nội dung nghiệp vụ > Chứng khoán kinh doanh (Thuyết minh số 6.1) > Trái phiếu","Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Số cuối năm > Chứng khoán kinh doanh (Thuyết minh số 6.1) > 139.524.375.000","Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Đơn vị tính: VND > Số đầu năm > Chứng khoán kinh doanh (Thuyết minh số 6.1) > -","numeric__Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Mối quan hệ > Chứng khoán kinh doanh (Thuyết minh số 6.1) > Các nhân sự lãnh đạo là thành viên gia đình (kề từ ngày 5/7/2017)","numeric__Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Nội dung nghiệp vụ > Chứng khoán kinh doanh (Thuyết minh số 6.1) > Trái phiếu","numeric__Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Số cuối năm > Chứng khoán kinh doanh (Thuyết minh số 6.1) > 139.524.375.000","numeric__Vào ngày kết thúc ký kế toán năm, các khoản phải thu và phải trả với các bên liên quan như sau: > Đơn vị tính: VND > Số đầu năm > Chứng khoán kinh doanh (Thuyết minh số 6.1) > -"
,,,,,139.524.375.000,-,,,139524375000.0,
Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),Phải thu khách hàng (Thuyết minh số 7.1),,,,
Công ty Cổ phần Xây dựng Công trình và Thương mại 747,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Xây dựng Công trình và Thương mại 747,Công ty Cổ phần Xây dựng Công trình và Thương mại 747,Công ty liên kết,Bán hàng và cung cấp dịch vụ,6.463.918.325,-,,,6463918325.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 1,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 1,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 1,Công ty liên kết,Cung cấp dịch vụ,6.505.794.146,-,,,6505794146.0,
Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty Liên Doanh Phát Triển Tiếp Vận Số 1,Công ty liên kết,Bán hàng và cung cấp dịch vụ,5.531.486.329,-,,,5531486329.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 2,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 2,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari 2,Công ty liên kết,Cung cấp dịch vụ,1.759.234.301,-,,,1759234301.0,
Công ty Cổ phần Dịch vụ Tổng Hợp Miền Nam,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Dịch vụ Tổng Hợp Miền Nam,Công ty Cổ phần Dịch vụ Tổng Hợp Miền Nam,Công ty liên kết,Bán hàng và cung cấp dịch vụ,538.690.140,-,,,538690140.0,
Công ty Cổ phần Chế tạo Born Hải Dương,Phải thu khách hàng (Thuyết minh số 7.1) > Công ty Cổ phần Chế tạo Born Hải Dương,Công ty Cổ phần Chế tạo Born Hải Dương,Cùng thành viên HĐQT,Bán hàng và cung cấp dịch vụ,12.978.367.899,-,,,12978367899.0,
,,,,,33.777.491.140,-,,,33777491140.0,
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty Cổ phần Chế tạo Born Hải Dương,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Chế tạo Born Hải Dương,Công ty Cổ phần Chế tạo Born Hải Dương,Cùng thành viên HĐQT,Cho vay ngắn hạn,100.000.000.000,,,,100000000000.0,
Công ty Cổ phần chế tạo điện máy Việt Nam - Hungari,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần chế tạo điện máy Việt Nam - Hungari,Công ty Cổ phần chế tạo điện máy Việt Nam - Hungari,Công ty con (từ tháng 7 năm 2017),Cho vay ngắn hạn,-,2.000.000.000,,,,2000000000.0
,,,,,100.000.000.000,2.000.000.000,,,100000000000.0,2000000000.0
