row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Tài sản khác (*),Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Tài sản khác (*),numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số dư đầu năm (Trình bày lại),Nguyên giá: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),86.633.065.746,48.691.588.800,135.324.654.546,86633065746.0,48691588800.0,135324654546.0
Tăng do hợp nhất kinh doanh,Nguyên giá: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,2.374.201.599,-,2.374.201.599,2374201599.0,,2374201599.0
Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Nguyên giá: > Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),70.956.444.711,40.872.581.214,111.829.025.925,70956444711.0,40872581214.0,111829025925.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,159.963.712.056,89.564.170.014,249.527.882.070,159963712056.0,89564170014.0,249527882070.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số dư đầu năm (Trình bày lại),Giá trị khấu hao lũy kế: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),3.164.841.306,5.887.972.249,9.052.813.555,3164841306.0,5887972249.0,9052813555.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,1.849.652.618,5.031.027.382,6.880.680.000,1849652618.0,5031027382.0,6880680000.0
Tăng do hợp nhất kinh doanh,Giá trị khấu hao lũy kế: > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,2.374.201.599,-,2.374.201.599,2374201599.0,,2374201599.0
Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Giá trị khấu hao lũy kế: > Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),Kết chuyển từ tài sản cố định hữu hình (Thuyết minh số 12),3.892.744.418,8.397.002.670,12.289.747.088,3892744418.0,8397002670.0,12289747088.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,11.281.439.941,19.316.002.301,30.597.442.242,11281439941.0,19316002301.0,30597442242.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),83.468.224.440,42.803.616.551,126.271.840.991,83468224440.0,42803616551.0,126271840991.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,148.682.272.115,70.248.167.713,218.930.439.828,148682272115.0,70248167713.0,218930439828.0
