row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ","Ngắn hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",6.558.923.904,1.094.142.272,6558923904.0,1094142272.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,9.189.311.447,2.406.802.733,9189311447.0,2406802733.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,15.748.235.351,3.500.945.005,15748235351.0,3500945005.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí thuê đất trả trước (*),Dài hạn > Chi phí thuê đất trả trước (*),Chi phí thuê đất trả trước (*),358.228.266.514,139.326.117.592,358228266514.0,139326117592.0
Chi phí xây dựng hạ tầng và san nền,Dài hạn > Chi phí xây dựng hạ tầng và san nền,Chi phí xây dựng hạ tầng và san nền,12.209.411.176,12.743.034.340,12209411176.0,12743034340.0
Chi phí sửa chữa lớn TSCĐ chờ phân bổ,Dài hạn > Chi phí sửa chữa lớn TSCĐ chờ phân bổ,Chi phí sửa chữa lớn TSCĐ chờ phân bổ,6.637.856.557,8.926.571.530,6637856557.0,8926571530.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",17.379.633.314,11.176.235.188,17379633314.0,11176235188.0
Chi phí nội thất và cải tạo văn phòng,Dài hạn > Chi phí nội thất và cải tạo văn phòng,Chi phí nội thất và cải tạo văn phòng,5.086.514.073,8.466.491.146,5086514073.0,8466491146.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,29.293.248.752,8.640.176.947,29293248752.0,8640176947.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,428.834.930.386,189.278.626.743,428834930386.0,189278626743.0
