row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm (Trình bày lại),Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Tài sản thuế thu nhập hoãn lại > Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,Thu nhập từ bồi thường di đời chưa thực hiện trong công ty liên kết,7.210.119.673,-,-,-,7210119673.0,,,
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,2.706.058.644,1.780.187.357,(253.856.093),-,2706058644.0,1780187357.0,-253856093.0,
Chi phí trích trước,Tài sản thuế thu nhập hoãn lại > Chi phí trích trước,Chi phí trích trước,1.455.699.641,2.427.653.299,(2.284.651.555),(357.066.668),1455699641.0,2427653299.0,-2284651555.0,-357066668.0
Khác,Tài sản thuế thu nhập hoãn lại > Khác,Khác,220.840.199,1.468.968.278,(80.649.365),-,220840199.0,1468968278.0,-80649365.0,
,,,11.592.718.157,5.676.808.934,,,11592718157.0,5676808934.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Thuế thu nhập hoãn lại phải trả > Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,Chênh lệch đánh giá lại tài sản do hợp nhất kinh doanh,(47.273.447.574),(13.880.752.012),5.849.079.556,-,-47273447574.0,-13880752012.0,5849079556.0,
Khác,Thuế thu nhập hoãn lại phải trả > Khác,Khác,(86.505.123),-,-,-,-86505123.0,,,
,,,(47.359.952.697),(13.880.752.012),,,-47359952697.0,-13880752012.0,,
Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,3.229.922.543,(357.066.668),,,3229922543.0,-357066668.0
