row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh thiết bị điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Cung cấp dịch vụ vận tải và kho vận > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Kinh doanh điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh thiết bị điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Cung cấp dịch vụ vận tải và kho vận > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Kinh doanh điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,10.419.126.915.399,1.091.292.217.322,213.287.394.083,260.434.542.993,-,11.984.141.069.797,10419126915399.0,1091292217322.0,213287394083.0,260434542993.0,,11984141069797.0
Giá vốn,Giá vốn,Giá vốn,(8.843.339.920.159),(888.260.892.569),(78.536.335.891),(187.680.402.948),-,(9.997.817.551.567),-8843339920159.0,-888260892569.0,-78536335891.0,-187680402948.0,,-9997817551567.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận thuần trước thuế của bộ phận,Kết quả > Lợi nhuận thuần trước thuế của bộ phận,Lợi nhuận thuần trước thuế của bộ phận,1.575.786.995.240,203.031.324.753,134.751.058.192,72.754.140.045,-,1.986.323.518.230,1575786995240.0,203031324753.0,134751058192.0,72754140045.0,,1986323518230.0
Thu nhập/chi phí) không phân bổ (*),Kết quả > Thu nhập/chi phí) không phân bổ (*),Thu nhập/chi phí) không phân bổ (*),-,-,-,-,-,(328.079.463.711),,,,,,-328079463711.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,-,-,-,-,-,1.658.244.054.519,,,,,,1658244054519.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,-,-,-,-,-,(343.657.196.636),,,,,,-343657196636.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,1.314.586.857.883,,,,,,1314586857883.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.216.112.272.745,906.944.904.932,1.435.841.369.359,255.743.796.730,-,6.814.642.343.766,4216112272745.0,906944904932.0,1435841369359.0,255743796730.0,,6814642343766.0
