row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,III. LƯU CHUYẾN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu và cổ đông không kiểm soát",,1.549.250.173.028,2.211.060.000,,,1549250173028.0,2211060000.0
33,33,33,Tiền thu từ đi vay,,8.224.544.519.876,5.455.770.445.434,,,8224544519876.0,5455770445434.0
34,34,34,Tiền trả nợ gốc vay,,(8.602.022.335.891),(2.361.061.793.228),,,-8602022335891.0,-2361061793228.0
36,36,36,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(495.512.817.241),(195.137.831.296),,,-495512817241.0,-195137831296.0
,,,Trong đó:,,,,,,,
,,,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu của công ty mẹ",,(232.049.645.000),(154.433.705.000),,,-232049645000.0,-154433705000.0
,,,"Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát",,(263.463.172.241),(40.704.126.296),,,-263463172241.0,-40704126296.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,676.259.539.772,2.901.781.880.910,,,676259539772.0,2901781880910.0
50,50,50,Lưu chuyển tiền trong năm,,(1.814.191.197.474),2.393.236.078.107,,,-1814191197474.0,2393236078107.0
60,60,60,Tiền và tương đương tiền đầu năm,,2.912.224.131.908,518.493.494.834,,,2912224131908.0,518493494834.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(515.667.957),494.558.967,,,-515667957.0,494558967.0
70,70,70,Tiền và tương đương tiền cuối năm,5,1.097.517.266.477,2.912.224.131.908,,5.0,1097517266477.0,2912224131908.0
