row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Số đầu năm(Trình bày lại) > Giá gốc,Số đầu năm(Trình bày lại) > Giá trị ghi sổ,Đơn vị tính: VND > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm(Trình bày lại) > Giá gốc,numeric__Số đầu năm(Trình bày lại) > Giá trị ghi sổ,numeric__Đơn vị tính: VND > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),249.969.163.922,249.969.163.922,-,156.347.794.267,156.347.794.267,-,249969163922.0,249969163922.0,,156347794267.0,156347794267.0,
Ủy thác đầu tư (ii),Ủy thác đầu tư (ii),Ủy thác đầu tư (ii),422.300.000.000,422.300.000.000,-,-,-,-,422300000000.0,422300000000.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,672.269.163.922,672.269.163.922,-,156.347.794.267,156.347.794.267,-,672269163922.0,672269163922.0,,156347794267.0,156347794267.0,
