row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,601.953.428.217,274.769.924.230,601953428217.0,274769924230.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,705.490.639.503,1.118.717.806.593,705490639503.0,1118717806593.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.711.237.767.300,1.433.237.767.300,1711237767300.0,1433237767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.018.681.835.020,2.826.725.498.123,3018681835020.0,2826725498123.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,936.725.713.933,1.220.159.775.825,936725713933.0,1220159775825.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,854.319.034.773,1.023.140.813.451,854319034773.0,1023140813451.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,153.302.687.529,129.770.539.293,153302687529.0,129770539293.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,1.944.347.436.235,2.373.071.128.569,1944347436235.0,2373071128569.0
