row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,3.270.164.370.333,2.903.484.794.288,,1.0,,3270164370333.0,2903484794288.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,24,3.270.164.370.333,2.903.484.794.288,,10.0,24.0,3270164370333.0,2903484794288.0
3.,3.,3.,Giá vốn hàng bán và cung cấp dịch vụ,11,25,2.673.563.014.336,2.377.496.712.120,,11.0,25.0,2673563014336.0,2377496712120.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,596.601.355.997,525.988.082.168,,20.0,,596601355997.0,525988082168.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,27,193.649.753.155,233.638.246.239,,21.0,27.0,193649753155.0,233638246239.0
6.,6.,6.,Chi phí tài chính,22,28,45.726.856.673,50.270.028.523,,22.0,28.0,45726856673.0,50270028523.0
,,,- Trong đó: Chi phí lãi vay,23,,42.722.281.544,28.943.259.504,,23.0,,42722281544.0,28943259504.0
7.,7.,7.,Chi phí quản lý doanh nghiệp,26,29,126.350.441.110,83.633.421.244,,26.0,29.0,126350441110.0,83633421244.0
8.,8.,8.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,618.173.811.369,625.722.878.640,,30.0,,618173811369.0,625722878640.0
9.,9.,9.,Thu nhập khác,31,,13.269.758.585,6.443.468.439,,31.0,,13269758585.0,6443468439.0
10.,10.,10.,Chi phí khác,32,,789.325.543,32.143.840.596,,32.0,,789325543.0,32143840596.0
11.,11.,11.,Lợi nhuận/(lỗ) khác (40=31-32),40,,12.480.433.042,(25.700.372.157),,40.0,,12480433042.0,-25700372157.0
12.,12.,12.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,630.654.244.411,600.022.506.483,,50.0,,630654244411.0,600022506483.0
13.,13.,13.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,30,116.425.553.376,102.288.806.238,,51.0,30.0,116425553376.0,102288806238.0
14.,14.,14.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,14,(8.104.473.494),(5.056.297.941),,52.0,14.0,-8104473494.0,-5056297941.0
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,522.333.164.529,502.789.998.186,,60.0,,522333164529.0,502789998186.0
