row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.427.134.087.102,2.852.015.220.822,,300.0,,2427134087102.0,2852015220822.0
I.,I.,I.,Nợ ngắn hạn,310,,1.276.361.005.227,1.433.266.235.486,,310.0,,1276361005227.0,1433266235486.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,15,326.550.371.506,491.477.183.241,,311.0,15.0,326550371506.0,491477183241.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,117.110.362,1.250.000.000,,312.0,,117110362.0,1250000000.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,28.356.815.845,32.452.606.909,,313.0,16.0,28356815845.0,32452606909.0
4.,4.,4.,Phải trả người lao động,314,,153.931.522.049,146.528.727.401,,314.0,,153931522049.0,146528727401.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,17,153.302.687.529,129.770.539.293,,315.0,17.0,153302687529.0,129770539293.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,11.110.748.186,5.618.925.683,,318.0,,11110748186.0,5618925683.0
7.,7.,7.,Phải trả ngắn hạn khác,319,18,110.292.930.276,86.218.250.710,,319.0,18.0,110292930276.0,86218250710.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,19,269.932.736.913,298.903.209.422,,320.0,19.0,269932736913.0,298903209422.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,20,110.670.670.030,133.939.727.809,,321.0,20.0,110670670030.0,133939727809.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,112.095.412.531,107.107.065.018,,322.0,,112095412531.0,107107065018.0
II.,II.,II.,Nợ dài hạn,330,,1.150.773.081.875,1.418.748.985.336,,330.0,,1150773081875.0,1418748985336.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,,14.232.471.255,17.500.058.333,,336.0,,14232471255.0,17500058333.0
2.,2.,2.,Phải trả dài hạn khác,337,18,418.803.033.600,448.803.033.600,,337.0,18.0,418803033600.0,448803033600.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,19,666.792.977.020,921.256.566.403,,338.0,19.0,666792977020.0,921256566403.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,20,50.944.600.000,31.189.327.000,,342.0,20.0,50944600000.0,31189327000.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.911.816.259.732,4.419.650.495.094,,400.0,,4911816259732.0,4419650495094.0
I.,I.,I.,Vốn chủ sở hữu,410,21,4.911.816.259.732,4.419.650.495.094,,410.0,21.0,4911816259732.0,4419650495094.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.236.512.460.000,3.236.512.460.000,,411.0,,3236512460000.0,3236512460000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.236.512.460.000,3.236.512.460.000,,,,3236512460000.0,3236512460000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,726.165.882.833,625.607.883.196,,418.0,,726165882833.0,625607883196.0
3.,3.,3.,Quỹ khác thuộc vốn chủ sở hữu,420,,44.843.396.730,44.843.396.730,,420.0,,44843396730.0,44843396730.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,904.294.520.169,512.686.755.168,,421.0,,904294520169.0,512686755168.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,381.961.355.640,9.896.756.982,,,,381961355640.0,9896756982.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,522.333.164.529,502.789.998.186,,,,522333164529.0,502789998186.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,7.338.950.346.834,7.271.665.715.916,,440.0,,7338950346834.0,7271665715916.0
