row_label_raw,row_label_full,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảng cân đối kế toán riêng_2,Bảng cân đối kế toán riêng_3,Bảng cân đối kế toán riêng_4,Bảng cân đối kế toán riêng_5,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảng cân đối kế toán riêng_2,numeric__Bảng cân đối kế toán riêng_3,numeric__Bảng cân đối kế toán riêng_4,numeric__Bảng cân đối kế toán riêng_5
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,4.414.779.454.115,278.157.277.327,13.133.861.790,151.264.344.070,4.857.334.937.302,4414779454115.0,278157277327.0,13133861790.0,151264344070.0,4857334937302.0
Tài sản không phân bổ,Chỉ tiêu > Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.481.615.409.532,,,,,2481615409532.0
Tổng tài sản,Chỉ tiêu > Tổng tài sản,Tổng tài sản,,,,,7.338.950.346.834,,,,,7338950346834.0
Nợ phải trả bộ phận,Chỉ tiêu > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.159.249.610.502,243.896.397.506,8.743.021.127,6.363.559.412,2.418.252.588.547,2159249610502.0,243896397506.0,8743021127.0,6363559412.0,2418252588547.0
Nợ phải trả không phân bổ,Chỉ tiêu > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,8.881.498.555,,,,,8881498555.0
Tổng nợ phải trả,Chỉ tiêu > Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.427.134.087.102,,,,,2427134087102.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,4.144.128.830.260,428.800.121.142,1.993.713.037,154.033.986.103,4.728.956.650.542,4144128830260.0,428800121142.0,1993713037.0,154033986103.0,4728956650542.0
Tài sản không phân bổ,Chỉ tiêu > Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.542.709.065.374,,,,,2542709065374.0
Tổng tài sản,Chỉ tiêu > Tổng tài sản,Tổng tài sản,,,,,7.271.665.715.916,,,,,7271665715916.0
Nợ phải trả bộ phận,Chỉ tiêu > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.074.016.689.095,199.307.637.858,685.040.125,79.675.030.946,2.353.684.398.024,2074016689095.0,199307637858.0,685040125.0,79675030946.0,2353684398024.0
Nợ phải trả không phân bổ,Chỉ tiêu > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,498.330.822.798,,,,,498330822798.0
Tổng nợ phải trả,Chỉ tiêu > Tổng nợ phải trả,Tổng nợ phải trả,,,,,2.852.015.220.822,,,,,2852015220822.0
