row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.946.844.756.008,2.668.768.995.397,,100.0,,2946844756008.0,2668768995397.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,601.953.428.217,274.769.924.230,,110.0,4.0,601953428217.0,274769924230.0
1.,1.,1.,Tiền,111,,59.953.428.217,124.269.924.230,,111.0,,59953428217.0,124269924230.0
2.,2.,2.,Các khoản tương đương tiền,112,,542.000.000.000,150.500.000.000,,112.0,,542000000000.0,150500000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.665.300.000.000,1.387.300.000.000,,120.0,,1665300000000.0,1387300000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,1.665.300.000.000,1.387.300.000.000,,123.0,5.0,1665300000000.0,1387300000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,599.740.221.185,946.287.801.515,,130.0,,599740221185.0,946287801515.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,486.439.867.862,803.056.484.088,,131.0,6.0,486439867862.0,803056484088.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,1.441.563.547,3.360.887.233,,132.0,,1441563547.0,3360887233.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,114.941.336.273,142.952.976.691,,136.0,7.0,114941336273.0,142952976691.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(3.082.546.497),(3.082.546.497),,137.0,8.0,-3082546497.0,-3082546497.0
IV.,IV.,IV.,Hàng tồn kho,140,9,65.186.247.626,47.170.027.873,,140.0,9.0,65186247626.0,47170027873.0
1.,1.,1.,Hàng tồn kho,141,,65.186.247.626,47.170.027.873,,141.0,,65186247626.0,47170027873.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,14.664.858.980,13.241.241.779,,150.0,,14664858980.0,13241241779.0
1.,1.,1.,Chỉ phí trả trước ngắn hạn,151,,14.664.858.980,8.706.105.948,,151.0,,14664858980.0,8706105948.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,4.533.180.989,,152.0,,,4533180989.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,1.954.842,,153.0,,,1954842.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,4.392.105.590.826,4.602.896.720.519,,200.0,,4392105590826.0,4602896720519.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,107.981.459.728,175.851.784.164,,210.0,,107981459728.0,175851784164.0
1.,1.,1.,Phải thu dài hạn khác,216,7,107.981.459.728,175.851.784.164,,216.0,7.0,107981459728.0,175851784164.0
II.,II.,II.,Tài sản cố định,220,,1.902.825.758.588,2.109.182.700.752,,220.0,,1902825758588.0,2109182700752.0
1.,1.,1.,Tài sản cố định hữu hình,221,10,1.902.825.758.588,2.108.812.723.758,,221.0,10.0,1902825758588.0,2108812723758.0
,,,- Nguyên giá,222,,2.988.026.703.026,2.977.824.072.793,,222.0,,2988026703026.0,2977824072793.0
,,,- Giá trị hao mòn lũy kế,223,,(1.085.200.944.438),(869.011.349.035),,223.0,,-1085200944438.0,-869011349035.0
2.,2.,2.,Tài sản cố định vô hình,227,11,-,369.976.994,,227.0,11.0,,369976994.0
,,,- Nguyên giá,228,,5.706.839.487,5.706.839.487,,228.0,,5706839487.0,5706839487.0
,,,- Giá trị hao mòn lũy kế,229,,(5.706.839.487),(5.336.862.493),,229.0,,-5706839487.0,-5336862493.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,16.007.526.686,-,,240.0,,16007526686.0,
1.,1.,1.,Chỉ phí xây dựng cơ bản dở dang,242,,16.007.526.686,-,,242.0,,16007526686.0,
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,12,2.304.465.531.725,2.261.850.465.847,,250.0,12.0,2304465531725.0,2261850465847.0
1.,1.,1.,Đầu tư vào công ty con,251,,2.221.549.949.850,2.217.747.240.000,,251.0,,2221549949850.0,2217747240000.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,97.000.000.000,97.000.000.000,,252.0,,97000000000.0,97000000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,45.937.767.300,45.937.767.300,,253.0,,45937767300.0,45937767300.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(60.022.185.425),(98.834.541.453),,254.0,,-60022185425.0,-98834541453.0
V.,V.,V.,Tài sản dài hạn khác,260,,60.825.314.099,56.011.769.756,,260.0,,60825314099.0,56011769756.0
1.,1.,1.,Chỉ phí trả trước dài hạn,261,13,17.814.162.989,21.105.092.140,,261.0,13.0,17814162989.0,21105092140.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,14,43.011.151.110,34.906.677.616,,262.0,14.0,43011151110.0,34906677616.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,7.338.950.346.834,7.271.665.715.916,,270.0,,7338950346834.0,7271665715916.0
