row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư và phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư và phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.236.512.460.000,504.775.057.115,44.843.396.730,483.380.707.322,4.269.511.621.167,3236512460000.0,504775057115.0,44843396730.0,483380707322.0,4269511621167.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,502.789.998.186,502.789.998.186,,,,502789998186.0,502789998186.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,120.832.826.081,-,(120.832.826.081),-,,120832826081.0,,-120832826081.0,
Trích quỹ khen thưởng. phúc lợi,Trích quỹ khen thưởng. phúc lợi,Trích quỹ khen thưởng. phúc lợi,-,-,-,(24.166.565.216),(24.166.565.216),,,,-24166565216.0,-24166565216.0
Quỹ khen thưởng Ban điều hành,Quỹ khen thưởng Ban điều hành,Quỹ khen thưởng Ban điều hành,-,-,-,(4.833.313.043),(4.833.313.043),,,,-4833313043.0,-4833313043.0
Công bố chia cổ tức (*),Công bố chia cổ tức (*),Công bố chia cổ tức (*),-,-,-,(323.651.246.000),(323.651.246.000),,,,-323651246000.0,-323651246000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.236.512.460.000,625.607.883.196,44.843.396.730,512.686.755.168,4.419.650.495.094,3236512460000.0,625607883196.0,44843396730.0,512686755168.0,4419650495094.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,522.333.164.529,522.333.164.529,,,,522333164529.0,522333164529.0
Phân phối quỹ (**),Phân phối quỹ (**),Phân phối quỹ (**),-,100.557.999.637,-,(100.557.999.637),-,,100557999637.0,,-100557999637.0,
Trích quỹ khen thưởng. phúc lợi (**),Trích quỹ khen thưởng. phúc lợi (**),Trích quỹ khen thưởng. phúc lợi (**),-,-,-,(25.139.499.909),(25.139.499.909),,,,-25139499909.0,-25139499909.0
Quỹ khen thưởng Ban điều hành (**),Quỹ khen thưởng Ban điều hành (**),Quỹ khen thưởng Ban điều hành (**),-,-,-,(5.027.899.982),(5.027.899.982),,,,-5027899982.0,-5027899982.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.236.512.460.000,726.165.882.833,44.843.396.730,904.294.520.169,4.911.816.259.732,3236512460000.0,726165882833.0,44843396730.0,904294520169.0,4911816259732.0
