row_label_raw,row_label_full,Năm trước > Chỉ tiêu,Năm trước > Dịch vụ vận tải,Năm trước > Dịch vụ kho nổi,Năm trước > Thương mại,Năm trước > Dịch vụ khác,Năm trước > Tổng,numeric__Năm trước > Dịch vụ vận tải,numeric__Năm trước > Dịch vụ kho nổi,numeric__Năm trước > Thương mại,numeric__Năm trước > Dịch vụ khác,numeric__Năm trước > Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.864.866.183.243,827.336.723.943,49.184.938.098,162.096.949.004,2.903.484.794.288,1864866183243.0,827336723943.0,49184938098.0,162096949004.0,2903484794288.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.864.866.183.243,827.336.723.943,49.184.938.098,162.096.949.004,2.903.484.794.288,1864866183243.0,827336723943.0,49184938098.0,162096949004.0,2903484794288.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,1.500.430.640.404,688.252.155.854,44.614.363.398,144.199.552.464,2.377.496.712.120,1500430640404.0,688252155854.0,44614363398.0,144199552464.0,2377496712120.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.500.430.640.404,688.252.155.854,44.614.363.398,144.199.552.464,2.377.496.712.120,1500430640404.0,688252155854.0,44614363398.0,144199552464.0,2377496712120.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,364.435.542.839,139.084.568.089,4.570.574.700,17.897.396.540,525.988.082.168,364435542839.0,139084568089.0,4570574700.0,17897396540.0,525988082168.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(83.633.421.244),,,,,-83633421244.0
