row_label_raw,row_label_full,CHỈ TIÊU,TM,Năm nay,Năm trước,numeric__TM,numeric__Năm nay,numeric__Năm trước
LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01. Mua sắm TSCĐ,LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01. Mua sắm TSCĐ,01. Mua sắm TSCĐ,,(265.202.331.385),(26.144.068.207),,-265202331385.0,-26144068207.0
"02. Tiền thu từ thanh lý, nhượng bán TSCĐ","LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02. Tiền thu từ thanh lý, nhượng bán TSCĐ","02. Tiền thu từ thanh lý, nhượng bán TSCĐ",,637.668.181,803.548.485,,637668181.0,803548485.0
"03. Tiền thu đầu tư, góp vốn vào các đơn vị khác","03. Tiền thu đầu tư, góp vốn vào các đơn vị khác","03. Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,-,,,
"04. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","03. Tiền thu đầu tư, góp vốn vào các đơn vị khác > 04. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","04. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,22.914.588.024,8.303.955.000,,22914588024.0,8303955000.0
II. Lưu chuyển tiền từ hoạt động đầu tư,"03. Tiền thu đầu tư, góp vốn vào các đơn vị khác > II. Lưu chuyển tiền từ hoạt động đầu tư",II. Lưu chuyển tiền từ hoạt động đầu tư,,(241.650.075.180),(17.036.564.722),,-241650075180.0,-17036564722.0
III. Lưu chuyển tiền thuần trong năm,"03. Tiền thu đầu tư, góp vốn vào các đơn vị khác > III. Lưu chuyển tiền thuần trong năm",III. Lưu chuyển tiền thuần trong năm,,7.559.724.165.140,(7.714.110.448.888),,7559724165140.0,-7714110448888.0
IV. Tiền và các khoản tương đương tiền đầu năm,"03. Tiền thu đầu tư, góp vốn vào các đơn vị khác > IV. Tiền và các khoản tương đương tiền đầu năm",IV. Tiền và các khoản tương đương tiền đầu năm,,13.529.588.417.382,21.243.698.866.270,,13529588417382.0,21243698866270.0
V. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,V. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,V. Điều chỉnh của ảnh hưởng thay đổi tỷ giá,,-,-,,,
VI. Tiền và các khoản tương đương tiền cuối năm,V. Điều chỉnh của ảnh hưởng thay đổi tỷ giá > VI. Tiền và các khoản tương đương tiền cuối năm,VI. Tiền và các khoản tương đương tiền cuối năm,,21.089.312.582.522,13.529.588.417.382,,21089312582522.0,13529588417382.0
