row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,22.367.686,2.082.694,7.796.715,(22.150.011),10.097.084,22367686.0,2082694.0,7796715.0,-22150011.0,10097084.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,22.069.123,2.051.323,7.605.373,(22.150.011),9.575.808,22069123.0,2051323.0,7605373.0,-22150011.0,9575808.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,109.379,25.846,56.794,-,192.020,109379.0,25846.0,56794.0,,192020.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,189.184,5.525,134.548,-,329.256,189184.0,5525.0,134548.0,,329256.0
II. Chi phí,II. Chi phí,II. Chi phí,21.663.290,1.687.547,6.407.651,(22.150.011),7.608.478,21663290.0,1687547.0,6407651.0,-22150011.0,7608478.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,20.616.188,1.570.769,6.136.978,(22.150.011),6.173.924,20616188.0,1570769.0,6136978.0,-22150011.0,6173924.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,17.146,8.392,10.105,-,35.643,17146.0,8392.0,10105.0,,35643.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,1.029.956,108.386,260.568,-,1.398.910,1029956.0,108386.0,260568.0,,1398910.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,704.396,395.147,1.389.064,-,2.488.606,704396.0,395147.0,1389064.0,,2488606.0
(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,514.168,185.093,469.346,-,1.168.607,514168.0,185093.0,469346.0,,1168607.0
Kết quả kinh doanh bộ,Kết quả kinh doanh bộ,Kết quả kinh doanh bộ,190.228,210.054,919.718,-,1.320.000,190228.0,210054.0,919718.0,,1320000.0
